Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Height_Class,Health_Status,Health_Label,Action,Block_Name,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
43,109.22327584560728,-0.4454421240968542,25.04,0.367672860622406,0.0528,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
119,109.23120997344608,-0.4465631075498844,20.09,0.3965753018856048,0.2205,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
1230,109.23120312281652,-0.4465745952279862,20.05,0.3558492064476013,0.0,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
133,109.22262038761733,-0.4468873169150547,18.79,0.4954372942447662,0.7987,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
103,109.22824491251394,-0.446270559795627,15.17,0.4199296832084656,0.3565,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
1273,109.23021929246676,-0.4466501863626734,12.64,0.4919282495975494,0.7781,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
473,109.222673256198,-0.4453523613561201,10.46,0.4183890521526336,0.3475,TM,TM_Muda,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
174,109.22940191586896,-0.4474703260482274,10.09,0.5698662996292114,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
37,109.22268695244804,-0.4453500668247328,10.05,0.3651643395423889,0.0382,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
36,109.22409989376268,-0.4453458140434352,9.98,0.350002646446228,0.0,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
33,109.2271768867387,-0.4452592411336287,9.46,0.4142854213714599,0.3236,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
886,109.22559485593524,-0.4459872796955008,9.23,0.4102771282196045,0.3002,TM,TM_Muda,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
26,109.22265961443752,-0.4451271680641582,9.08,0.5995622873306274,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
101,109.2283225283229,-0.4462430042526135,8.97,0.4890533983707428,0.7612,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
56,109.22672938516271,-0.445709513717096,8.94,0.4755536913871765,0.6819,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
137,109.22837942442852,-0.446950760187829,8.92,0.43656986951828,0.4536,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
252,109.23007814944856,-0.4450600287225427,8.88,0.4938066899776459,0.7891,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
13,109.23005760855692,-0.4450485344281092,8.88,0.472982108592987,0.6668,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
27,109.22975399909342,-0.4451334820936138,8.87,0.3728674650192261,0.0829,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
84,109.2255651846223,-0.445975783189702,8.86,0.445188045501709,0.504,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
171,109.22936769026128,-0.4474128710971948,8.84,0.4803204238414764,0.7099,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
127,109.22489161884954,-0.4467798705504732,8.59,0.411992996931076,0.3102,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
140,109.22920801112907,-0.4469762379198757,8.58,0.398030549287796,0.229,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
126,109.22921947984167,-0.4467441563265443,8.56,0.4824772477149963,0.7225,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
478,109.22718599251851,-0.4453626471554143,8.51,0.4441872537136078,0.4981,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
