Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Status
88,109.22586501845392,-0.449879312448507,42.91,0.4576660394668579,0.5418,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C14,0.129,W,0.17,Tegak,1.245,4243,Normal,Moderate,Routine,DTM_ARTIFACT_PARTIAL
28,109.224525908828,-0.4482685982940229,40.41,0.457860916852951,0.5429,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C14,0.185,N,0.26,Tegak,1.132,3771,Normal,Moderate,Routine,DTM_ARTIFACT_PARTIAL
748,109.23071161230165,-0.4486938931338504,19.73,0.4712114632129669,0.6172,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C14,0.671,E,1.95,Miring Ringan,1.332,1333,Healthy,Good,None,DTM_ARTIFACT_PARTIAL
40,109.2307184343424,-0.448696185537127,18.63,0.4245277047157287,0.3581,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C14,0.13,W,0.4,Tegak,1.328,1341,Abnormal,Sub-Optimal,Monitor,DTM_ARTIFACT_PARTIAL
1681,109.23089776021236,-0.4500912911848659,12.89,0.4198329150676727,0.3321,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C14,0.167,NE,0.74,Tegak,1.642,1682,Abnormal,Sub-Optimal,Monitor,DTM_ARTIFACT_PARTIAL
1570,109.23119799131452,-0.4499378847624576,11.67,0.4151242673397064,0.3061,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C14,0.474,N,2.32,Tegak,1.217,835,Abnormal,Sub-Optimal,Monitor,DTM_ARTIFACT_PARTIAL
7,109.22751202860772,-0.4478249235638319,10.99,0.4120959043502807,0.2894,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C14,0.34,N,1.77,Tegak,2.475,3221,Abnormal,Sub-Optimal,Monitor,DTM_ARTIFACT_PARTIAL
147,109.22387949238896,-0.450531685070001,10.85,0.4147809743881225,0.3042,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C14,0.557,SW,2.94,Miring Ringan,1.985,2600,Abnormal,Sub-Optimal,Monitor,DTM_ARTIFACT_PARTIAL
10,109.22543568675688,-0.4478450343109597,9.78,0.502528965473175,0.792,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C14,0.033,N,0.19,Tegak,1.257,10967,Healthy,Good,None,DTM_ARTIFACT_PARTIAL
1551,109.22859631998,-0.4498983065736734,9.67,0.4847095906734466,0.6924,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C14,0.316,N,1.87,Tegak,2.287,1046,Healthy,Good,None,DTM_ARTIFACT_PARTIAL
486,109.2222994777659,-0.4482726358434358,9.46,0.3989454805850982,0.2168,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C14,0.462,NW,2.8,Tegak,1.427,1543,Abnormal,Sub-Optimal,Monitor,DTM_ARTIFACT_PARTIAL
29,109.2264339380884,-0.4483377859787894,9.38,0.4313512742519378,0.3959,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C14,0.185,S,1.13,Tegak,1.282,8009,Normal,Moderate,Routine,DTM_ARTIFACT_PARTIAL
2001,109.225723874043,-0.450477159912967,9.19,0.5153684616088867,0.8639,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C14,1.229,NE,7.62,Miring Sedang,1.703,6805,Healthy,Good,None,DTM_ARTIFACT_PARTIAL
199,109.22545843306798,-0.447826713973002,9.16,0.4338279664516449,0.4096,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C14,1.57,SW,9.72,Miring Berat,1.117,4885,Normal,Moderate,Routine,DTM_ARTIFACT_PARTIAL
95,109.22978796421032,-0.4500406237264748,9.07,0.3715927004814148,0.0664,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C14,0.233,SW,1.47,Tegak,1.222,10025,Suspect,Critical,Priority Survey,DTM_ARTIFACT_PARTIAL
