Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
1,109.22273718579608,-0.458709745964954,7.78,0.4989882409572601,0.8205,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.044,E,0.32,Tegak,1.128,14063,Healthy,Good,None,False
2,109.22256035090318,-0.4587209730922151,8.01,0.4532208740711212,0.5682,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18A,0.087,N,0.62,Tegak,1.459,10233,Normal,Moderate,Routine,False
3,109.22327663297924,-0.4587211522086075,8.11,0.4799500107765198,0.7153,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.063,S,0.44,Tegak,1.046,15399,Healthy,Good,None,False
4,109.223395266669,-0.4587234361392699,7.8,0.4706993401050567,0.6643,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.02,N,0.14,Tegak,1.335,12730,Healthy,Good,None,False
5,109.22371311583852,-0.4587280241379009,6.52,0.4823018908500671,0.7283,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.085,SW,0.74,Tegak,1.146,15113,Healthy,Good,None,False
6,109.22353180408804,-0.4587392501745381,7.27,0.5631048679351807,1.0,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.171,NE,1.35,Tegak,1.385,6870,Healthy,Good,None,False
7,109.22248200256072,-0.458741241930147,5.9,0.5380127429962158,1.0,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.022,SE,0.21,Tegak,1.038,15510,Healthy,Good,None,False
8,109.22305278923844,-0.4587436389530047,7.66,0.4480352997779846,0.5397,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18A,0.099,SE,0.74,Tegak,1.07,15089,Normal,Moderate,Routine,False
9,109.22388994416976,-0.4587438482405265,9.19,0.5060181021690369,0.8594,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.328,N,2.05,Tegak,1.46,9623,Healthy,Good,None,False
10,109.2227908980468,-0.458745827731206,8.2,0.5795031785964966,1.0,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.095,E,0.66,Tegak,1.014,14992,Healthy,Good,None,False
11,109.22381831425746,-0.4587505931534114,7.28,0.5030211806297302,0.8428,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18A,0.017,S,0.14,Tegak,1.002,16065,Healthy,Good,None,False
