Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Status,SR_Ref_Corrected,SR_Area_Ha
25,109.22324708959384,-0.4606701387631645,14.38,0.4509275555610657,0.8263,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.013,W,0.05,Tegak,1.0,16129,Normal,Moderate,Routine,OK,398,3.0
31,109.2225705393344,-0.460732540592965,13.67,0.4373867809772491,0.7902,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.068,NE,0.29,Tegak,1.118,15142,Normal,Moderate,Routine,OK,398,3.0
21,109.22280714057838,-0.4605632391868501,12.33,0.4789709746837616,0.9011,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.067,NW,0.31,Tegak,1.178,11810,Healthy,Good,None,OK,398,3.0
3,109.22288923622186,-0.460295452746655,12.28,0.3876033425331116,0.6583,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.084,SW,0.39,Tegak,1.27,13459,Suspect,Critical,Priority Survey,OK,398,3.0
126,109.22310140574992,-0.461751341995315,11.93,0.4695519208908081,0.8759,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.568,SW,2.73,Miring Ringan,1.132,8044,Healthy,Good,None,OK,398,3.0
5,109.2230276062256,-0.4603063332352812,11.82,0.4389860928058624,0.7945,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.098,E,0.47,Tegak,1.11,14277,Normal,Moderate,Routine,OK,398,3.0
6,109.2229252732093,-0.4603204904861973,11.48,0.4575237929821014,0.8438,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.066,NW,0.33,Tegak,1.039,15236,Normal,Moderate,Routine,OK,398,3.0
28,109.22296453999112,-0.4606867536133179,11.47,0.5067824721336365,0.9756,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.024,S,0.12,Tegak,1.015,15987,Healthy,Good,None,OK,398,3.0
100,109.22360153857504,-0.4614081574366403,11.45,0.458089679479599,0.8453,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.437,SW,2.19,Tegak,1.552,6332,Normal,Moderate,Routine,OK,398,3.0
7,109.22325173293687,-0.4603222409789082,11.03,0.4656499624252319,0.8655,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.086,NW,0.45,Tegak,1.215,12877,Healthy,Good,None,OK,398,3.0
32,109.22291480850338,-0.460754318605593,10.71,0.4041853249073028,0.7021,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.205,S,1.1,Tegak,1.251,13207,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
