Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
688,109.224482669834,-0.4630989972656446,45.34,0.3423197567462921,0.0242,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.143,W,0.18,Tegak,1.644,2461,Suspect,Critical,Priority Survey,False
898,109.23027679766275,-0.4634953179616989,29.72,0.4119319915771484,0.4646,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.605,N,1.17,Miring Ringan,1.273,1054,Abnormal,Sub-Optimal,Monitor,False
987,109.22804325974876,-0.4636732239258742,20.04,0.4015862643718719,0.3989,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.442,W,1.26,Tegak,1.101,3175,Abnormal,Sub-Optimal,Monitor,False
763,109.22803450481724,-0.463238205190093,19.5,0.3896761834621429,0.3234,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.31,NW,0.91,Tegak,1.677,2550,Suspect,Critical,Priority Survey,False
997,109.22814739798515,-0.4636844044421502,19.3,0.3991697132587433,0.3836,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.168,SE,0.5,Tegak,1.726,4281,Abnormal,Sub-Optimal,Monitor,False
911,109.22788597974812,-0.4635147936633372,19.21,0.4005431234836578,0.3923,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.285,W,0.85,Tegak,1.87,2778,Abnormal,Sub-Optimal,Monitor,False
1023,109.22802551863964,-0.4637334525120513,19.18,0.3503063023090362,0.0745,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.239,NE,0.71,Tegak,1.306,6286,Suspect,Critical,Priority Survey,False
965,109.22808980137786,-0.4636308494286179,19.13,0.3701139390468597,0.1995,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.204,N,0.61,Tegak,1.514,4603,Suspect,Critical,Priority Survey,False
706,109.22807663318868,-0.4631222113873108,18.93,0.4311825931072235,0.5872,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.309,S,0.94,Tegak,1.677,5719,Normal,Moderate,Routine,False
886,109.22778628137952,-0.463470151467709,18.82,0.4271120131015777,0.5612,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.401,SW,1.22,Tegak,1.454,825,Abnormal,Sub-Optimal,Monitor,False
817,109.22819401613988,-0.4633341720832419,18.58,0.4079815447330475,0.4395,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.998,SW,3.07,Miring Ringan,5.375,1104,Abnormal,Sub-Optimal,Monitor,False
923,109.22816516016896,-0.4635394033986513,18.53,0.4712004065513611,0.8429,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.498,NW,1.54,Tegak,1.421,4869,Healthy,Good,None,False
768,109.2281785268395,-0.463249395724048,18.5,0.4003486037254333,0.3911,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.433,W,1.34,Tegak,1.518,3075,Abnormal,Sub-Optimal,Monitor,False
852,109.22818292012327,-0.463403325768408,18.08,0.4590134918689728,0.7648,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.438,S,1.39,Tegak,2.352,1827,Normal,Moderate,Routine,False
904,109.22804108669328,-0.4635014476199447,17.21,0.4551642835140228,0.7402,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.117,SW,0.39,Tegak,1.082,5989,Normal,Moderate,Routine,False
1002,109.2277596344948,-0.4637021535345464,16.34,0.4276066720485687,0.5644,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.142,N,0.5,Tegak,1.645,1892,Abnormal,Sub-Optimal,Monitor,False
943,109.22777295794094,-0.4635861525019988,16.33,0.3919820487499237,0.338,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.907,N,3.18,Miring Ringan,1.27,928,Abnormal,Sub-Optimal,Monitor,False
651,109.22432536353456,-0.4630476480484077,16.19,0.4674235582351684,0.8187,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.381,E,1.35,Tegak,1.999,5406,Healthy,Good,None,False
885,109.22816296214818,-0.4634680155120272,16.17,0.3711357116699219,0.206,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.413,N,1.46,Tegak,2.361,1466,Suspect,Critical,Priority Survey,False
905,109.22770207396336,-0.4635035930541848,16.09,0.3370617926120758,0.0,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.38,NW,1.35,Tegak,1.525,5354,Suspect,Critical,Priority Survey,False
841,109.22808100042546,-0.4633809915568974,16.08,0.4703550636768341,0.8374,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.36,W,1.28,Tegak,1.75,1954,Healthy,Good,None,False
879,109.22793695789244,-0.4634523425995522,15.99,0.5321016311645508,1.0,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.143,W,0.51,Tegak,1.235,3856,Healthy,Good,None,False
880,109.2278682685958,-0.4634545561481835,15.9,0.452245831489563,0.7216,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.278,NW,1.0,Tegak,1.525,2740,Normal,Moderate,Routine,False
918,109.22762008508894,-0.463525880928226,15.79,0.3714563846588135,0.208,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.125,SW,0.45,Tegak,1.34,5363,Suspect,Critical,Priority Survey,False
732,109.22764676078168,-0.4631778745006922,15.77,0.3153395354747772,0.0,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.054,W,0.19,Tegak,2.493,3396,Suspect,Critical,Priority Survey,False
785,109.22424775468384,-0.463277405961637,15.71,0.3996204733848572,0.3864,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.245,E,0.89,Tegak,1.059,10909,Abnormal,Sub-Optimal,Monitor,False
24,109.23125213184056,-0.4618982690520474,15.63,0.4914993941783905,0.9731,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.179,NW,0.66,Tegak,1.424,792,Healthy,Good,None,False
808,109.2279657950087,-0.4633229603374275,15.4,0.4536428153514862,0.7305,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.444,SW,1.65,Tegak,1.376,1993,Normal,Moderate,Routine,False
642,109.2276357174253,-0.463035097094797,15.18,0.3747451603412628,0.2288,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.293,SE,1.11,Tegak,1.87,2573,Suspect,Critical,Priority Survey,False
500,109.22428112490029,-0.4627397796670995,15.08,0.4074108302593231,0.4359,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.123,N,0.47,Tegak,1.49,11181,Abnormal,Sub-Optimal,Monitor,False
840,109.22763563150012,-0.4633808793678234,14.87,0.4336775541305542,0.6031,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.567,N,2.18,Miring Ringan,1.921,1319,Normal,Moderate,Routine,False
831,109.22779295695892,-0.4633563796108018,14.84,0.4314006268978119,0.5885,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.443,NW,1.71,Tegak,1.26,1446,Normal,Moderate,Routine,False
694,109.22455357198706,-0.4631079385478853,14.81,0.4738114178180694,0.8596,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.72,E,2.78,Miring Ringan,1.557,3740,Healthy,Good,None,False
996,109.22424543888924,-0.4636789582686607,14.74,0.4545058012008667,0.736,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.12,NW,0.47,Tegak,1.159,10635,Normal,Moderate,Routine,False
838,109.224294260119,-0.4633800367725648,14.65,0.4785100221633911,0.8897,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.207,E,0.81,Tegak,1.272,5601,Healthy,Good,None,False
762,109.2279347953515,-0.4632381800826627,14.28,0.4802066087722778,0.9006,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,1.006,SW,4.03,Miring Sedang,1.934,1416,Healthy,Good,None,False
666,109.22787722756075,-0.4630686206967663,14.28,0.4807435274124145,0.904,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.295,NW,1.18,Tegak,1.415,1592,Healthy,Good,None,False
1021,109.22477720950585,-0.4637281712628505,14.1,0.4183888137340545,0.5057,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.006,NE,0.03,Tegak,1.0,16129,Abnormal,Sub-Optimal,Monitor,False
667,109.22800130989138,-0.4630708827847533,13.51,0.492666631937027,0.9806,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.538,SW,2.28,Miring Ringan,1.22,2818,Healthy,Good,None,False
720,109.22773318007162,-0.4631600494333044,13.39,0.4577912390232086,0.757,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.305,S,1.3,Tegak,1.247,4718,Normal,Moderate,Routine,False
755,109.22772208572312,-0.4632225105410756,13.38,0.3716362714767456,0.2092,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.494,E,2.12,Tegak,1.995,2311,Suspect,Critical,Priority Survey,False
5504,109.22791017277478,-0.4642398272581699,13.02,0.3849167227745056,0.2932,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,2.002,NE,8.74,Miring Berat,2.059,2864,Suspect,Critical,Priority Survey,True
518,109.22705082139343,-0.4627694783418712,12.93,0.4239379465579986,0.541,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.184,NE,0.82,Tegak,1.19,3314,Abnormal,Sub-Optimal,Monitor,False
899,109.2242942312238,-0.4634960409369947,12.87,0.3705261945724487,0.2022,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.393,E,1.75,Tegak,1.456,921,Suspect,Critical,Priority Survey,False
698,109.22765785623729,-0.4631109516885126,12.83,0.3770495355129242,0.2434,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.122,NW,0.54,Tegak,1.157,7181,Suspect,Critical,Priority Survey,False
65,109.23124989731308,-0.4619741176606397,12.78,0.465910792350769,0.809,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.163,N,0.73,Tegak,1.109,14684,Healthy,Good,None,False
1034,109.22447142878912,-0.4637504025344652,12.75,0.4357957243919372,0.6166,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.132,S,0.59,Tegak,1.584,6751,Normal,Moderate,Routine,False
1268,109.2312293961987,-0.464229509826902,12.59,0.4241816699504852,0.5426,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.123,E,0.56,Tegak,1.085,13654,Abnormal,Sub-Optimal,Monitor,False
1243,109.2242231544393,-0.464187586295787,12.5,0.4236187636852264,0.539,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.07,SW,0.32,Tegak,1.03,15610,Abnormal,Sub-Optimal,Monitor,False
1094,109.22730535870896,-0.4638782763971439,12.42,0.3559387922286987,0.11,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.047,S,0.22,Tegak,2.124,3748,Suspect,Critical,Priority Survey,False
1184,109.23123386709824,-0.4640711200444155,12.36,0.4244283139705658,0.5441,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.027,W,0.13,Tegak,1.017,15714,Abnormal,Sub-Optimal,Monitor,False
914,109.22752037730594,-0.4635191632396422,12.34,0.4148544371128082,0.4832,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.236,SW,1.1,Tegak,1.293,7261,Abnormal,Sub-Optimal,Monitor,False
990,109.22436287536615,-0.4636745262304282,12.32,0.4876900017261505,0.9486,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.591,SE,2.75,Miring Ringan,1.828,3656,Healthy,Good,None,False
713,109.22792817022386,-0.4631489442596216,12.31,0.3076381385326385,0.0,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.339,SE,1.58,Tegak,1.911,4937,Suspect,Critical,Priority Survey,False
1044,109.22742946377592,-0.4637890735712092,12.19,0.3907791376113891,0.3304,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.291,S,1.37,Tegak,1.373,8002,Abnormal,Sub-Optimal,Monitor,False
1093,109.22697964124072,-0.4638781942271986,12.04,0.3520846664905548,0.0857,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.95,S,4.51,Miring Ringan,1.037,2392,Suspect,Critical,Priority Survey,False
4760,109.22753581330228,-0.4638181014841507,12.03,0.320269227027893,0.0,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,1.998,SW,9.43,Miring Berat,1.151,2882,Suspect,Critical,Priority Survey,True
1103,109.22750698891936,-0.4638961740824111,11.98,0.40128955245018,0.397,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.144,SW,0.69,Tegak,1.188,12458,Abnormal,Sub-Optimal,Monitor,False
3741,109.22701968594872,-0.4632312570284593,11.97,0.3055136203765869,0.0,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,1.117,S,5.33,Miring Sedang,1.616,402,Suspect,Critical,Priority Survey,True
3686,109.2278749802062,-0.463195778797906,11.87,0.4309504628181457,0.5857,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.449,SE,2.16,Tegak,1.807,1206,Normal,Moderate,Routine,True
1120,109.22731642032112,-0.4639474356342269,11.85,0.3268826901912689,0.0,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.264,SE,1.28,Tegak,1.386,9330,Suspect,Critical,Priority Survey,False
993,109.22698633906224,-0.4636751883192359,11.82,0.4572092294692993,0.7533,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.321,NW,1.55,Tegak,1.541,6618,Normal,Moderate,Routine,False
971,109.23071769803552,-0.4636471271797817,11.81,0.4608794450759887,0.7768,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.029,SW,0.14,Tegak,1.107,14020,Healthy,Good,None,False
1000,109.22744056647036,-0.4636931496803301,11.77,0.3585983514785766,0.1268,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C19,0.137,NE,0.67,Tegak,1.651,4925,Suspect,Critical,Priority Survey,False
49,109.2245693745355,-0.4619322846912202,11.74,0.3980725109577179,0.3766,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.286,S,1.39,Tegak,1.064,13354,Abnormal,Sub-Optimal,Monitor,False
714,109.22425886403911,-0.4631547120473636,11.7,0.4972262978553772,1.0,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.219,S,1.07,Tegak,1.612,8154,Healthy,Good,None,False
1387,109.22978909290164,-0.4644433090795717,11.68,0.4275786578655243,0.5642,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.025,N,0.12,Tegak,1.0,16126,Abnormal,Sub-Optimal,Monitor,False
1126,109.2272078444913,-0.4639607933591095,11.66,0.4514189958572387,0.7163,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.231,N,1.13,Tegak,1.27,6706,Normal,Moderate,Routine,False
4638,109.2243827983181,-0.4637503801472321,11.66,0.4165221452713012,0.4938,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,1.95,NW,9.49,Miring Berat,1.496,2819,Abnormal,Sub-Optimal,Monitor,True
4883,109.22315966375284,-0.4638883836613862,11.66,0.4529237449169159,0.7259,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,1.054,SW,5.16,Miring Sedang,1.35,2269,Normal,Moderate,Routine,True
13,109.2293643022304,-0.4618777179819382,11.64,0.4830979406833648,0.9192,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.008,SW,0.04,Tegak,1.02,15538,Healthy,Good,None,False
751,109.23094603023904,-0.4632121674163116,11.62,0.4326787889003753,0.5967,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C19,0.088,E,0.43,Tegak,1.49,9491,Normal,Moderate,Routine,False
1335,109.22853942324927,-0.4643492979037837,11.61,0.4528073072433471,0.7252,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C19,0.082,SW,0.41,Tegak,1.02,15295,Normal,Moderate,Routine,False
1201,109.22874776753656,-0.4640994947284381,11.56,0.3865357041358948,0.3035,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C19,0.11,N,0.54,Tegak,1.066,14963,Suspect,Critical,Priority Survey,False
