Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
1,109.23144515,-0.44081581,17.9,0.49,TM,Healthy,,D009A,0.49,Healthy,Good,None,D09,original,False
2,109.23177582,-0.4403565,17.81,0.496,TM,Healthy,,D009A,0.496,Healthy,Good,None,D09,original,False
3,109.23167252,-0.44037276,17.39,0.519,TM,Healthy,,D009A,0.519,Healthy,Good,None,D09,original,False
4,109.23220019,-0.44063875,17.36,0.435,TM,Healthy,,D009A,0.435,Normal,Moderate,Routine,D09,original,False
5,109.23240534,-0.44486865,17.36,0.513,TM,Healthy,,D009A,0.513,Healthy,Good,None,D09,original,False
6,109.23180051,-0.44043473,17.27,0.445,TM,Healthy,,D009A,0.445,Normal,Moderate,Routine,D09,original,False
7,109.23223346,-0.44050175,17.19,0.357,TM,Suspect,Circle_5m,D009A,0.357,Suspect,Critical,Priority Survey,D09,original,False
8,109.2320434,-0.44082228,17.08,0.514,TM,Healthy,,D009A,0.514,Healthy,Good,None,D09,original,False
9,109.23242872,-0.44476375,17.08,0.436,TM,Healthy,,D009A,0.436,Normal,Moderate,Routine,D09,original,False
10,109.2315508,-0.44037182,17.07,0.419,TM,Healthy,,D009A,0.419,Abnormal,Sub-Optimal,Monitor,D09,original,False
11,109.23180811,-0.44058168,16.97,0.44,TM,Healthy,,D009A,0.44,Normal,Moderate,Routine,D09,original,False
12,109.23196572,-0.44070968,16.75,0.447,TM,Healthy,,D009A,0.447,Normal,Moderate,Routine,D09,original,False
13,109.23237356,-0.44060804,16.72,0.381,TM,Healthy,,D009A,0.381,Suspect,Critical,Priority Survey,D09,original,False
14,109.23144106,-0.44100119,16.68,0.461,TM,Healthy,,D009A,0.461,Healthy,Good,None,D09,original,False
15,109.23349471,-0.44583425,16.67,0.555,TM,Healthy,,D009A,0.555,Healthy,Good,None,D09,original,False
16,109.23185169,-0.44052201,16.65,0.498,TM,Healthy,,D009A,0.498,Healthy,Good,None,D09,original,False
17,109.23202572,-0.44148468,16.62,0.475,TM,Healthy,,D009A,0.475,Healthy,Good,None,D09,original,False
18,109.23167475,-0.44042159,16.58,0.457,TM,Healthy,,D009A,0.457,Normal,Moderate,Routine,D09,original,False
19,109.23213195,-0.44049404,16.52,0.564,TM,Healthy,,D009A,0.564,Healthy,Good,None,D09,original,False
20,109.2321661,-0.44046557,16.45,0.505,TM,Healthy,,D009A,0.505,Healthy,Good,None,D09,original,False
21,109.23236448,-0.44482387,16.4,0.575,TM,Healthy,,D009A,0.575,Healthy,Good,None,D09,original,False
22,109.23143119,-0.44096637,16.38,0.481,TM,Healthy,,D009A,0.481,Healthy,Good,None,D09,original,False
23,109.23194772,-0.44085707,16.33,0.406,TM,Healthy,,D009A,0.406,Abnormal,Sub-Optimal,Monitor,D09,original,False
24,109.23198456,-0.44082905,16.29,0.443,TM,Healthy,,D009A,0.443,Normal,Moderate,Routine,D09,original,False
25,109.23172549,-0.44048942,16.24,0.518,TM,Healthy,,D009A,0.518,Healthy,Good,None,D09,original,False
26,109.23242734,-0.44490211,16.2,0.565,TM,Healthy,,D009A,0.565,Healthy,Good,None,D09,original,False
27,109.23220337,-0.4404606,16.14,0.407,TM,Healthy,,D009A,0.407,Abnormal,Sub-Optimal,Monitor,D09,original,False
28,109.23234055,-0.44910979,16.11,0.399,TM,Healthy,,D009A,0.399,Abnormal,Sub-Optimal,Monitor,D09,original,False
29,109.23256793,-0.44105255,16.08,0.408,TM,Healthy,,D009A,0.408,Abnormal,Sub-Optimal,Monitor,D09,original,False
30,109.23155345,-0.44058886,16.08,0.47,TM,Healthy,,D009A,0.47,Healthy,Good,None,D09,original,False
31,109.23166036,-0.44050523,16.06,0.448,TM,Healthy,,D009A,0.448,Normal,Moderate,Routine,D09,original,False
32,109.23152701,-0.44033112,16.02,0.502,TM,Healthy,,D009A,0.502,Healthy,Good,None,D09,original,False
33,109.23194619,-0.44165919,15.97,0.452,TM,Healthy,,D009A,0.452,Normal,Moderate,Routine,D09,original,False
34,109.23209692,-0.44052116,15.92,0.544,TM,Healthy,,D009A,0.544,Healthy,Good,None,D09,original,False
35,109.23256399,-0.44063838,15.91,0.472,TM,Healthy,,D009A,0.472,Healthy,Good,None,D09,original,False
36,109.23199612,-0.44132913,15.82,0.563,TM,Healthy,,D009A,0.563,Healthy,Good,None,D09,original,False
37,109.23202171,-0.44136621,15.79,0.529,TM,Healthy,,D009A,0.529,Healthy,Good,None,D09,original,False
38,109.23299383,-0.44623066,15.79,0.435,TM,Healthy,,D009A,0.435,Normal,Moderate,Routine,D09,original,False
39,109.23157411,-0.44055314,15.77,0.435,TM,Healthy,,D009A,0.435,Normal,Moderate,Routine,D09,original,False
40,109.23319826,-0.44593591,15.75,0.459,TM,Healthy,,D009A,0.459,Normal,Moderate,Routine,D09,original,False
41,109.2318045,-0.44066126,15.74,0.445,TM,Healthy,,D009A,0.445,Normal,Moderate,Routine,D09,original,False
42,109.23235859,-0.44879103,15.7,0.467,TM,Healthy,,D009A,0.467,Healthy,Good,None,D09,original,False
43,109.23192668,-0.44059573,15.68,0.464,TM,Healthy,,D009A,0.464,Healthy,Good,None,D09,original,False
44,109.23139666,-0.44073441,15.66,0.473,TM,Healthy,,D009A,0.473,Healthy,Good,None,D09,original,False
45,109.23144648,-0.44091302,15.59,0.454,TM,Healthy,,D009A,0.454,Normal,Moderate,Routine,D09,original,False
46,109.23206351,-0.4487801,15.58,0.494,TM,Healthy,,D009A,0.494,Healthy,Good,None,D09,original,False
47,109.23199941,-0.44069703,15.51,0.539,TM,Healthy,,D009A,0.539,Healthy,Good,None,D09,original,False
48,109.23236237,-0.44043803,15.51,0.443,TM,Healthy,,D009A,0.443,Normal,Moderate,Routine,D09,original,False
49,109.23224138,-0.44119173,15.5,0.49,TM,Healthy,,D009A,0.49,Healthy,Good,None,D09,original,False
