Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
1,109.24145367,-0.42472707,19.98,0.547,TM,Healthy,,E001A,0.547,Healthy,Good,None,E01,original,False
2,109.24153584,-0.42485912,19.97,0.53,TM,Healthy,,E001A,0.53,Healthy,Good,None,E01,original,False
3,109.24139126,-0.42464884,19.93,0.463,TM,Healthy,,E001A,0.463,Healthy,Good,None,E01,original,False
4,109.24190597,-0.42466659,19.9,0.5,TM,Healthy,,E001A,0.5,Healthy,Good,None,E01,original,False
5,109.24197289,-0.42464581,19.89,0.469,TM,Healthy,,E001A,0.469,Healthy,Good,None,E01,original,False
6,109.24199274,-0.42428047,19.84,0.4,TM,Healthy,,E001A,0.4,Abnormal,Sub-Optimal,Monitor,E01,original,False
7,109.24185385,-0.42472988,19.8,0.485,TM,Healthy,,E001A,0.485,Healthy,Good,None,E01,original,False
8,109.24197336,-0.42455764,19.78,0.458,TM,Healthy,,E001A,0.458,Normal,Moderate,Routine,E01,original,False
9,109.24114688,-0.42489701,19.73,0.456,TM,Healthy,,E001A,0.456,Normal,Moderate,Routine,E01,original,False
10,109.24116081,-0.42482603,19.67,0.422,TM,Healthy,,E001A,0.422,Abnormal,Sub-Optimal,Monitor,E01,original,False
11,109.2417475,-0.42433377,19.64,0.541,TM,Healthy,,E001A,0.541,Healthy,Good,None,E01,original,False
12,109.24145713,-0.42531397,19.62,0.46,TM,Healthy,,E001A,0.46,Healthy,Good,None,E01,original,False
13,109.24145623,-0.42535059,19.62,0.483,TM,Healthy,,E001A,0.483,Healthy,Good,None,E01,original,False
14,109.24206552,-0.42419865,19.6,0.48,TM,Healthy,,E001A,0.48,Healthy,Good,None,E01,original,False
15,109.24201656,-0.42419321,19.57,0.492,TM,Healthy,,E001A,0.492,Healthy,Good,None,E01,original,False
16,109.24184713,-0.4246919,19.56,0.416,TM,Healthy,,E001A,0.416,Abnormal,Sub-Optimal,Monitor,E01,original,False
17,109.24165049,-0.42429848,19.47,0.366,TM,Suspect,Circle_5m,E001A,0.366,Suspect,Critical,Priority Survey,E01,original,False
18,109.24131897,-0.42456246,19.32,0.412,TM,Healthy,,E001A,0.412,Abnormal,Sub-Optimal,Monitor,E01,original,False
19,109.24233787,-0.42542133,19.24,0.432,TM,Healthy,,E001A,0.432,Normal,Moderate,Routine,E01,original,False
20,109.24143079,-0.42463664,19.22,0.566,TM,Healthy,,E001A,0.566,Healthy,Good,None,E01,original,False
21,109.24160336,-0.4241895,19.21,0.486,TM,Healthy,,E001A,0.486,Healthy,Good,None,E01,original,False
22,109.24148288,-0.42468096,19.18,0.505,TM,Healthy,,E001A,0.505,Healthy,Good,None,E01,original,False
23,109.24164197,-0.42425598,19.12,0.378,TM,Suspect,Circle_5m,E001A,0.378,Suspect,Critical,Priority Survey,E01,original,False
24,109.24162671,-0.4242207,19.02,0.353,TM,Suspect,Circle_5m,E001A,0.353,Suspect,Critical,Priority Survey,E01,original,False
25,109.241605,-0.42485507,18.97,0.42,TM,Healthy,,E001A,0.42,Abnormal,Sub-Optimal,Monitor,E01,original,False
26,109.24178511,-0.42485059,18.96,0.456,TM,Healthy,,E001A,0.456,Normal,Moderate,Routine,E01,original,False
27,109.24187418,-0.4242402,18.74,0.48,TM,Healthy,,E001A,0.48,Healthy,Good,None,E01,original,False
28,109.24205326,-0.42479187,18.68,0.436,TM,Healthy,,E001A,0.436,Normal,Moderate,Routine,E01,original,False
29,109.24135709,-0.4248012,18.4,0.469,TM,Healthy,,E001A,0.469,Healthy,Good,None,E01,original,False
30,109.24205699,-0.42416338,18.38,0.43,TM,Healthy,,E001A,0.43,Normal,Moderate,Routine,E01,original,False
31,109.24189065,-0.42487458,18.23,0.439,TM,Healthy,,E001A,0.439,Normal,Moderate,Routine,E01,original,False
32,109.24116535,-0.42462618,18.19,0.467,TM,Healthy,,E001A,0.467,Healthy,Good,None,E01,original,False
33,109.24205472,-0.42429857,18.17,0.441,TM,Healthy,,E001A,0.441,Normal,Moderate,Routine,E01,original,False
34,109.24136561,-0.4248532,18.11,0.478,TM,Healthy,,E001A,0.478,Healthy,Good,None,E01,original,False
35,109.24111994,-0.42482738,17.98,0.45,TM,Healthy,,E001A,0.45,Normal,Moderate,Routine,E01,original,False
36,109.24167423,-0.42460414,17.91,0.509,TM,Healthy,,E001A,0.509,Healthy,Good,None,E01,original,False
37,109.24203497,-0.42424612,17.89,0.478,TM,Healthy,,E001A,0.478,Healthy,Good,None,E01,original,False
