Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
1,109.23236679,-0.42899359,14.16,0.305,TM,Suspect,Circle_5m,D001A,0.37010458111763,Suspect,Critical,Priority Survey,D01
2,109.23154937,-0.42700756,14.11,0.418,TM,Healthy,,D001A,0.4807431399822235,Healthy,Good,,D01
3,109.2331649,-0.43096559,14.06,0.436,TM,Healthy,,D001A,0.4940802156925201,Healthy,Good,,D01
4,109.23156055,-0.43110312,13.73,0.43,TM,Healthy,,D001A,0.4875612556934356,Healthy,Good,,D01
5,109.23153688,-0.42857561,13.7,0.414,TM,Healthy,,D001A,0.4717321991920471,Healthy,Good,,D01
6,109.23159033,-0.43051443,13.69,0.425,TM,Healthy,,D001A,0.4809456765651703,Healthy,Good,,D01
7,109.23354729,-0.42824284,13.55,0.402,TM,Healthy,,D001A,0.4633950889110565,Healthy,Good,,D01
8,109.23154352,-0.43096069,13.53,0.358,TM,Suspect,Circle_5m,D001A,0.4176952242851257,Abnormal,Sub-Optimal,Monitor,D01
9,109.23166911,-0.4277672,13.51,0.364,TM,Suspect,Circle_5m,D001A,0.4325651228427887,Normal,Moderate,Routine,D01
10,109.23315668,-0.42959468,13.31,0.498,TM,Healthy,,D001A,0.5478947758674622,Healthy,Good,,D01
11,109.23350519,-0.42967343,13.25,0.446,TM,Healthy,,D001A,0.5094093680381775,Healthy,Good,,D01
12,109.23190105,-0.42698277,13.23,0.417,TM,Healthy,,D001A,0.4720438718795776,Healthy,Good,,D01
13,109.23231137,-0.42974007,13.19,0.45,TM,Healthy,,D001A,0.5097470879554749,Healthy,Good,,D01
14,109.23352672,-0.42980185,13.15,0.434,TM,Healthy,,D001A,0.4939602613449096,Healthy,Good,,D01
15,109.231459,-0.42936685,13.11,0.374,TM,Suspect,Circle_5m,D001A,0.4287081360816955,Abnormal,Sub-Optimal,Monitor,D01
16,109.23152643,-0.42911683,13.1,0.409,TM,Healthy,,D001A,0.4665508866310119,Healthy,Good,,D01
17,109.23290078,-0.43107676,13.07,0.394,TM,Healthy,,D001A,0.4547056257724762,Normal,Moderate,Routine,D01
18,109.23242603,-0.43112322,13.03,0.43,TM,Healthy,,D001A,0.4870006740093231,Healthy,Good,,D01
19,109.23151756,-0.43058314,12.98,0.409,TM,Healthy,,D001A,0.4725065231323242,Healthy,Good,,D01
20,109.23272154,-0.43120513,12.96,0.42,TM,Healthy,,D001A,0.4785894453525543,Healthy,Good,,D01
21,109.23317459,-0.42982844,12.93,0.413,TM,Healthy,,D001A,0.4741118550300598,Healthy,Good,,D01
22,109.23192315,-0.43046523,12.91,0.462,TM,Healthy,,D001A,0.5158277153968811,Healthy,Good,,D01
23,109.23159836,-0.43077894,12.9,0.478,TM,Healthy,,D001A,0.5306087732315063,Healthy,Good,,D01
24,109.23343913,-0.42984026,12.87,0.423,TM,Healthy,,D001A,0.4797095954418182,Healthy,Good,,D01
25,109.23211672,-0.43053038,12.77,0.484,TM,Healthy,,D001A,0.5379493832588196,Healthy,Good,,D01
26,109.23328522,-0.43116186,12.75,0.403,TM,Healthy,,D001A,0.4610513746738434,Healthy,Good,,D01
27,109.2314362,-0.42890746,12.72,0.333,TM,Suspect,Circle_5m,D001A,0.3896252512931824,Suspect,Critical,Priority Survey,D01
28,109.23156957,-0.42901465,12.57,0.379,TM,Suspect,Circle_5m,D001A,0.447490394115448,Normal,Moderate,Routine,D01
29,109.23319497,-0.4310488,12.55,0.424,TM,Healthy,,D001A,0.4819074869155884,Healthy,Good,,D01
30,109.23321381,-0.43112567,12.54,0.469,TM,Healthy,,D001A,0.520622968673706,Healthy,Good,,D01
31,109.23240103,-0.43046353,12.53,0.353,TM,Suspect,Circle_5m,D001A,0.4183388352394104,Abnormal,Sub-Optimal,Monitor,D01
32,109.23154605,-0.42972723,12.52,0.424,TM,Healthy,,D001A,0.4853235185146332,Healthy,Good,,D01
33,109.23154332,-0.42791683,12.49,0.414,TM,Healthy,,D001A,0.4693389236927032,Healthy,Good,,D01
34,109.23160931,-0.43003923,12.48,0.54,TM,Healthy,,D001A,0.591055154800415,Healthy,Good,,D01
35,109.23208293,-0.42705245,12.47,0.393,TM,Healthy,,D001A,0.4394912123680115,Normal,Moderate,Routine,D01
36,109.23261573,-0.43040299,12.43,0.422,TM,Healthy,,D001A,0.4836241006851196,Healthy,Good,,D01
37,109.23180392,-0.42152622,12.41,0.349,TM,Suspect,Circle_5m,D001A,0.4133884310722351,Abnormal,Sub-Optimal,Monitor,D01
38,109.23201022,-0.4307293,12.4,0.396,TM,Healthy,,D001A,0.4578740298748016,Normal,Moderate,Routine,D01
39,109.23235103,-0.43108929,12.39,0.444,TM,Healthy,,D001A,0.5005312561988831,Healthy,Good,,D01
40,109.2321819,-0.43025956,12.37,0.456,TM,Healthy,,D001A,0.5103487968444824,Healthy,Good,,D01
41,109.23328479,-0.43107369,12.34,0.359,TM,Suspect,Circle_5m,D001A,0.4182591736316681,Abnormal,Sub-Optimal,Monitor,D01
42,109.23199124,-0.42931769,12.33,0.376,TM,Suspect,Circle_5m,D001A,0.4375768601894378,Normal,Moderate,Routine,D01
43,109.23183021,-0.42838894,12.32,0.424,TM,Healthy,,D001A,0.4766471982002258,Healthy,Good,,D01
44,109.23230646,-0.42960488,12.28,0.405,TM,Healthy,,D001A,0.4593936204910278,Normal,Moderate,Routine,D01
45,109.23252485,-0.43109069,12.27,0.454,TM,Healthy,,D001A,0.5083407759666443,Healthy,Good,,D01
46,109.23142086,-0.42921085,12.25,0.384,TM,Healthy,,D001A,0.4451459646224975,Normal,Moderate,Routine,D01
47,109.23140163,-0.43081462,12.23,0.395,TM,Healthy,,D001A,0.4551262259483337,Normal,Moderate,Routine,D01
48,109.23204038,-0.42652252,12.23,0.378,TM,Suspect,Circle_5m,D001A,0.4432984590530395,Normal,Moderate,Routine,D01
49,109.23319618,-0.42968828,12.19,0.459,TM,Healthy,,D001A,0.5141468644142151,Healthy,Good,,D01
50,109.23231282,-0.42931731,12.19,0.391,TM,Healthy,,D001A,0.4569390714168548,Normal,Moderate,Routine,D01
51,109.23140589,-0.42984747,12.18,0.434,TM,Healthy,,D001A,0.4954185783863067,Healthy,Good,,D01
52,109.23312668,-0.43115323,12.16,0.482,TM,Healthy,,D001A,0.5359181761741638,Healthy,Good,,D01
53,109.23155804,-0.4303408,12.15,0.38,TM,Suspect,Circle_5m,D001A,0.4302377998828888,Normal,Moderate,Routine,D01
54,109.23207346,-0.42723692,12.13,0.41,TM,Healthy,,D001A,0.4630973935127258,Healthy,Good,,D01
55,109.23179201,-0.43044666,12.13,0.376,TM,Suspect,Circle_5m,D001A,0.438741385936737,Normal,Moderate,Routine,D01
56,109.23167954,-0.42931084,12.11,0.46,TM,Healthy,,D001A,0.5140262246131897,Healthy,Good,,D01
57,109.23148432,-0.42668788,12.1,0.354,TM,Suspect,Circle_5m,D001A,0.4243138134479522,Abnormal,Sub-Optimal,Monitor,D01
58,109.23185113,-0.43115474,12.09,0.407,TM,Healthy,,D001A,0.4639903008937835,Healthy,Good,,D01
59,109.233517,-0.42908112,12.07,0.385,TM,Healthy,,D001A,0.4449850618839264,Normal,Moderate,Routine,D01
60,109.23207366,-0.43025727,12.04,0.356,TM,Suspect,Circle_5m,D001A,0.4195694029331207,Abnormal,Sub-Optimal,Monitor,D01
61,109.23335353,-0.43095569,12.04,0.413,TM,Healthy,,D001A,0.4721685349941253,Healthy,Good,,D01
62,109.23173704,-0.42729924,11.99,0.47,TM,Healthy,,D001A,0.5276212096214294,Healthy,Good,,D01
63,109.23221326,-0.43060998,11.99,0.419,TM,Healthy,,D001A,0.4758335649967193,Healthy,Good,,D01
64,109.23236486,-0.42955742,11.98,0.576,TM,Healthy,,D001A,0.6261802911758423,Healthy,Good,,D01
65,109.2317409,-0.42810723,11.97,0.363,TM,Suspect,Circle_5m,D001A,0.4279942512512207,Abnormal,Sub-Optimal,Monitor,D01
66,109.23242248,-0.43093648,11.95,0.387,TM,Healthy,,D001A,0.447845309972763,Normal,Moderate,Routine,D01
67,109.23141208,-0.43029827,11.89,0.384,TM,Healthy,,D001A,0.438868910074234,Normal,Moderate,Routine,D01
68,109.23161165,-0.4296115,11.89,0.459,TM,Healthy,,D001A,0.5223180651664734,Healthy,Good,,D01
69,109.23142731,-0.42851952,11.87,0.396,TM,Healthy,,D001A,0.4564297795295715,Normal,Moderate,Routine,D01
70,109.23291982,-0.43029184,11.87,0.333,TM,Suspect,Circle_5m,D001A,0.396741658449173,Abnormal,Sub-Optimal,Monitor,D01
71,109.23235024,-0.43064754,11.84,0.548,TM,Healthy,,D001A,0.5984811186790466,Healthy,Good,,D01
72,109.23147086,-0.4265988,11.84,0.392,TM,Healthy,,D001A,0.4611406028270721,Healthy,Good,,D01
73,109.23170989,-0.43013647,11.84,0.416,TM,Healthy,,D001A,0.4721699059009552,Healthy,Good,,D01
74,109.23297576,-0.43116224,11.82,0.35,TM,Suspect,Circle_5m,D001A,0.4111189246177673,Abnormal,Sub-Optimal,Monitor,D01
75,109.23310401,-0.43011916,11.82,0.463,TM,Healthy,,D001A,0.508401095867157,Healthy,Good,,D01
76,109.23154041,-0.42691442,11.8,0.356,TM,Suspect,Circle_5m,D001A,0.4170495271682739,Abnormal,Sub-Optimal,Monitor,D01
77,109.23265515,-0.43086148,11.79,0.385,TM,Healthy,,D001A,0.4445237815380096,Normal,Moderate,Routine,D01
78,109.23201813,-0.42954648,11.74,0.5,TM,Healthy,,D001A,0.5564325451850891,Healthy,Good,,D01
79,109.23228868,-0.42686169,11.74,0.438,TM,Healthy,,D001A,0.4918152689933777,Healthy,Good,,D01
80,109.2316044,-0.42990132,11.72,0.413,TM,Healthy,,D001A,0.4689729213714599,Healthy,Good,,D01
81,109.23162263,-0.42675573,11.71,0.448,TM,Healthy,,D001A,0.5065475106239319,Healthy,Good,,D01
82,109.23144109,-0.43105969,11.59,0.391,TM,Healthy,,D001A,0.4485439956188202,Normal,Moderate,Routine,D01
83,109.2316793,-0.43036932,11.56,0.409,TM,Healthy,,D001A,0.4698091745376587,Healthy,Good,,D01
84,109.23139183,-0.43043436,11.55,0.414,TM,Healthy,,D001A,0.4727842807769775,Healthy,Good,,D01
85,109.23336607,-0.43115012,11.54,0.419,TM,Healthy,,D001A,0.4774830341339111,Healthy,Good,,D01
86,109.23176495,-0.42898169,11.53,0.336,TM,Suspect,Circle_5m,D001A,0.3961040675640106,Abnormal,Sub-Optimal,Monitor,D01
87,109.23143944,-0.42653052,11.53,0.432,TM,Healthy,,D001A,0.4867030084133148,Healthy,Good,,D01
88,109.23344227,-0.42789014,11.53,0.365,TM,Suspect,Circle_5m,D001A,0.4230457842350006,Abnormal,Sub-Optimal,Monitor,D01
89,109.23185083,-0.42660703,11.51,0.377,TM,Suspect,Circle_5m,D001A,0.4509933888912201,Normal,Moderate,Routine,D01
90,109.2320857,-0.4306294,11.49,0.516,TM,Healthy,,D001A,0.5682049989700317,Healthy,Good,,D01
91,109.23204441,-0.43051228,11.48,0.516,TM,Healthy,,D001A,0.5586702823638916,Healthy,Good,,D01
92,109.23356362,-0.42947269,11.48,0.373,TM,Suspect,Circle_5m,D001A,0.4307334423065185,Normal,Moderate,Routine,D01
93,109.23313053,-0.42999934,11.47,0.423,TM,Healthy,,D001A,0.4775600135326385,Healthy,Good,,D01
94,109.23290683,-0.430158,11.43,0.436,TM,Healthy,,D001A,0.4957817792892456,Healthy,Good,,D01
95,109.23141915,-0.42489961,11.43,0.376,TM,Suspect,Circle_5m,D001A,0.441523939371109,Normal,Moderate,Routine,D01
96,109.23159073,-0.4268448,11.43,0.393,TM,Healthy,,D001A,0.4545229971408844,Normal,Moderate,Routine,D01
97,109.23216413,-0.42943212,11.42,0.442,TM,Healthy,,D001A,0.4998850524425506,Healthy,Good,,D01
98,109.23154489,-0.4308576,11.42,0.433,TM,Healthy,,D001A,0.4923834502696991,Healthy,Good,,D01
99,109.23140323,-0.42971273,11.39,0.31,TM,Suspect,Circle_5m,D001A,0.3710518181324005,Suspect,Critical,Priority Survey,D01
100,109.23143263,-0.43074861,11.38,0.374,TM,Suspect,Circle_5m,D001A,0.4344672560691833,Normal,Moderate,Routine,D01
101,109.23175156,-0.42667076,11.38,0.433,TM,Healthy,,D001A,0.4868159592151642,Healthy,Good,,D01
102,109.23349355,-0.42754562,11.38,0.419,TM,Healthy,,D001A,0.4677018225193023,Healthy,Good,,D01
103,109.23175927,-0.42830166,11.35,0.358,TM,Suspect,Circle_5m,D001A,0.4300172924995422,Normal,Moderate,Routine,D01
104,109.2314292,-0.42611228,11.31,0.334,TM,Suspect,Circle_5m,D001A,0.390213131904602,Abnormal,Sub-Optimal,Monitor,D01
105,109.23341267,-0.42966889,11.31,0.355,TM,Suspect,Circle_5m,D001A,0.4147616326808929,Abnormal,Sub-Optimal,Monitor,D01
106,109.23316492,-0.43086612,11.28,0.485,TM,Healthy,,D001A,0.5394852757453918,Healthy,Good,,D01
107,109.23351318,-0.42219986,11.26,0.412,TM,Healthy,,D001A,0.4711406528949737,Healthy,Good,,D01
108,109.23350671,-0.42892467,11.23,0.444,TM,Healthy,,D001A,0.5075489282608032,Healthy,Good,,D01
109,109.23201611,-0.42661249,11.22,0.429,TM,Healthy,,D001A,0.4941918849945068,Healthy,Good,,D01
110,109.23212956,-0.4273979,11.22,0.498,TM,Healthy,,D001A,0.5535672903060913,Healthy,Good,,D01
111,109.23143289,-0.42962819,11.2,0.386,TM,Healthy,,D001A,0.4446662366390228,Normal,Moderate,Routine,D01
112,109.23248672,-0.43090214,11.2,0.52,TM,Healthy,,D001A,0.565213143825531,Healthy,Good,,D01
113,109.23185434,-0.42891163,11.2,0.452,TM,Healthy,,D001A,0.5018485188484192,Healthy,Good,,D01
114,109.23203489,-0.42698371,11.18,0.365,TM,Suspect,Circle_5m,D001A,0.4231728911399841,Abnormal,Sub-Optimal,Monitor,D01
115,109.23150308,-0.42711019,11.17,0.407,TM,Healthy,,D001A,0.460923433303833,Healthy,Good,,D01
116,109.23257698,-0.43096907,11.16,0.388,TM,Healthy,,D001A,0.4483178257942199,Normal,Moderate,Routine,D01
117,109.23269565,-0.42857859,11.15,0.425,TM,Healthy,,D001A,0.4780401289463043,Healthy,Good,,D01
118,109.23245206,-0.42927123,11.15,0.344,TM,Suspect,Circle_5m,D001A,0.4046337306499481,Abnormal,Sub-Optimal,Monitor,D01
119,109.23181629,-0.43032594,11.15,0.418,TM,Healthy,,D001A,0.4771044552326202,Healthy,Good,,D01
120,109.23138747,-0.42595628,11.14,0.379,TM,Suspect,Circle_5m,D001A,0.4377247393131256,Normal,Moderate,Routine,D01
121,109.23182959,-0.43106566,11.12,0.394,TM,Healthy,,D001A,0.453014075756073,Normal,Moderate,Routine,D01
122,109.23155867,-0.42951925,11.12,0.541,TM,Healthy,,D001A,0.5868515372276306,Healthy,Good,,D01
123,109.23186485,-0.4281371,11.12,0.321,TM,Suspect,Circle_5m,D001A,0.3850723803043365,Suspect,Critical,Priority Survey,D01
124,109.23177725,-0.42820988,11.11,0.386,TM,Healthy,,D001A,0.4588170051574707,Normal,Moderate,Routine,D01
125,109.23144202,-0.43092043,11.1,0.335,TM,Suspect,Circle_5m,D001A,0.3988761007785797,Abnormal,Sub-Optimal,Monitor,D01
126,109.23182575,-0.43021562,11.09,0.347,TM,Suspect,Circle_5m,D001A,0.4106787145137787,Abnormal,Sub-Optimal,Monitor,D01
127,109.23304944,-0.43106821,11.08,0.35,TM,Suspect,Circle_5m,D001A,0.4121537804603576,Abnormal,Sub-Optimal,Monitor,D01
128,109.23252021,-0.42977765,11.08,0.43,TM,Healthy,,D001A,0.4915788173675537,Healthy,Good,,D01
129,109.23352788,-0.42471065,11.06,0.352,TM,Suspect,Circle_5m,D001A,0.4080439209938049,Abnormal,Sub-Optimal,Monitor,D01
130,109.23139777,-0.43001974,11.05,0.414,TM,Healthy,,D001A,0.4785519540309906,Healthy,Good,,D01
131,109.23208867,-0.42944793,11.04,0.394,TM,Healthy,,D001A,0.4531677961349487,Normal,Moderate,Routine,D01
132,109.23354608,-0.42959025,11.02,0.424,TM,Healthy,,D001A,0.48686084151268,Healthy,Good,,D01
