Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
5,109.23755184,-0.42356325,19.71,0.336,TM,Suspect,Circle_5m,D003A,0.3804182112216949,Suspect,Critical,Priority Survey,D03,RING-001,8.618,5.0
16,109.23762236,-0.42354563,17.34,0.34,TM,Suspect,Circle_5m,D003A,0.4099765121936798,Abnormal,Sub-Optimal,Monitor,D03,RING-001,15.999,5.0
516,109.23752038,-0.42365593,8.51,0.365,TM,Suspect,Circle_5m,D003A,0.4384143650531769,Normal,Moderate,Routine,D03,RING-001,4.541,5.0
27,109.23743729,-0.4236731,16.47,0.306,TM,Suspect,Circle_5m,D003A,0.3590112626552582,Suspect,Critical,Priority Survey,D03,RING-001,9.028,5.0
410,109.23736543,-0.42366539,9.45,0.341,TM,Suspect,Circle_5m,D003A,0.4040045440196991,Abnormal,Sub-Optimal,Monitor,D03,RING-001,15.718,5.0
7,109.23780919,-0.42359541,19.26,0.375,TM,Suspect,Circle_5m,D003A,0.4478457868099212,Normal,Moderate,Routine,D03,RING-002,5.135,5.0
39,109.23772835,-0.42357098,15.43,0.355,TM,Suspect,Circle_5m,D003A,0.4042994081974029,Abnormal,Sub-Optimal,Monitor,D03,RING-002,5.434,5.0
126,109.23775438,-0.4236474,12.88,0.363,TM,Suspect,Circle_5m,D003A,0.4098897576332092,Abnormal,Sub-Optimal,Monitor,D03,RING-002,4.85,5.0
21,109.23796777,-0.42344398,17.15,0.369,TM,Suspect,Circle_5m,D003A,0.4176886677742004,Abnormal,Sub-Optimal,Monitor,D03,RING-003,9.599,5.0
35,109.23792643,-0.42352671,15.82,0.373,TM,Suspect,Circle_5m,D003A,0.4429321587085724,Normal,Moderate,Routine,D03,RING-003,3.219,5.0
219,109.23797132,-0.42361896,11.58,0.377,TM,Suspect,Circle_5m,D003A,0.4531697034835815,Normal,Moderate,Routine,D03,RING-003,10.009,5.0
62,109.23764421,-0.42426501,14.55,0.333,TM,Suspect,Circle_5m,D003A,0.3966092467308044,Abnormal,Sub-Optimal,Monitor,D03,RING-004,24.476,5.0
340,109.23768685,-0.42436087,10.24,0.356,TM,Suspect,Circle_5m,D003A,0.4196345210075378,Abnormal,Sub-Optimal,Monitor,D03,RING-004,34.592,5.0
96,109.2377107,-0.4241877,13.51,0.361,TM,Suspect,Circle_5m,D003A,0.4238594174385071,Abnormal,Sub-Optimal,Monitor,D03,RING-004,15.663,5.0
245,109.23769814,-0.4240932,11.17,0.357,TM,Suspect,Circle_5m,D003A,0.4224777221679687,Abnormal,Sub-Optimal,Monitor,D03,RING-004,5.14,5.0
1303,109.23777406,-0.42402359,4.0,0.377,TM,Suspect,Circle_5m,D003A,0.4235875308513641,Abnormal,Sub-Optimal,Monitor,D03,RING-004,9.997,5.0
223,109.23769682,-0.42397564,11.48,0.377,TM,Suspect,Circle_5m,D003A,0.4459860324859619,Normal,Moderate,Routine,D03,RING-004,8.057,5.0
74,109.23767258,-0.42390058,14.23,0.355,TM,Suspect,Circle_5m,D003A,0.4188973307609558,Abnormal,Sub-Optimal,Monitor,D03,RING-004,16.374,5.0
71,109.23761017,-0.42383139,14.29,0.336,TM,Suspect,Circle_5m,D003A,0.3963660299777984,Abnormal,Sub-Optimal,Monitor,D03,RING-004,25.44,5.0
103,109.23769462,-0.42379343,13.41,0.367,TM,Suspect,Circle_5m,D003A,0.4360891580581665,Normal,Moderate,Routine,D03,RING-004,28.144,5.0
75,109.23827421,-0.42879253,14.18,0.263,TM,Suspect,Circle_5m,D003A,0.3473311066627502,Suspect,Critical,Priority Survey,D03,RING-005,6.913,5.0
261,109.23830701,-0.42872472,11.05,0.246,TM,Suspect,Circle_5m,D003A,0.3110165297985077,Suspect,Critical,Priority Survey,D03,RING-005,3.073,5.0
194,109.2383223,-0.42864379,11.91,0.286,TM,Suspect,Circle_5m,D003A,0.3575854003429413,Suspect,Critical,Priority Survey,D03,RING-005,11.7,5.0
218,109.23831379,-0.42853617,11.59,0.366,TM,Suspect,Circle_5m,D003A,0.4393073916435241,Normal,Moderate,Routine,D03,RING-005,23.599,5.0
353,109.23835235,-0.42886082,10.09,0.228,TM,Suspect,Circle_5m,D003A,0.3042356967926025,Suspect,Critical,Priority Survey,D03,RING-005,12.832,5.0
309,109.23834649,-0.4289395,10.47,0.191,TM,Suspect,Circle_5m,D003A,0.2655853927135467,Suspect,Critical,Priority Survey,D03,RING-005,21.209,5.0
81,109.23840875,-0.4237633,13.95,0.288,TM,Suspect,Circle_5m,D003A,0.3493640422821045,Suspect,Critical,Priority Survey,D03,RING-006,7.885,5.0
381,109.23834408,-0.42372756,9.8,0.28,TM,Suspect,Circle_5m,D003A,0.3328122794628143,Suspect,Critical,Priority Survey,D03,RING-006,6.503,5.0
632,109.23833553,-0.42380307,7.7,0.267,TM,Suspect,Circle_5m,D003A,0.3341860771179199,Suspect,Critical,Priority Survey,D03,RING-006,1.973,5.0
118,109.23827848,-0.42385144,13.03,0.343,TM,Suspect,Circle_5m,D003A,0.3947373330593109,Abnormal,Sub-Optimal,Monitor,D03,RING-006,10.066,5.0
85,109.23757301,-0.42921513,13.83,0.378,TM,Suspect,Circle_5m,D003A,0.4389097988605499,Normal,Moderate,Routine,D03,RING-007,5.029,5.0
