Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-012,109.23720235,-0.4249303,5.0,671,1,670,0.3737,0.0,506.263,High
RING-007,109.23759252,-0.42757585,5.0,84,0,84,0.3756,0.0,65.244,High
RING-033,109.23649338,-0.42263929,5.0,48,0,48,0.3779,0.0,38.221,High
RING-031,109.23657506,-0.42323009,5.0,40,0,40,0.3659,0.0,32.341,High
RING-015,109.23804969,-0.4265681,5.0,33,0,33,0.3785,0.0,26.965,High
RING-014,109.23786939,-0.42697487,5.0,12,0,12,0.387,0.0,10.33,Medium
RING-026,109.2364278,-0.42437623,5.0,11,0,11,0.3835,0.0,9.515,Medium
RING-030,109.23627552,-0.4240248,5.0,10,0,10,0.372,0.0,8.78,Medium
RING-027,109.23706114,-0.42438366,5.0,9,0,9,0.3747,0.0,7.903,Medium
RING-005,109.23794704,-0.42872845,5.0,8,0,8,0.378,0.0,7.02,Medium
RING-023,109.23764091,-0.42494026,5.0,8,0,8,0.3907,0.0,6.893,Low
RING-029,109.23826616,-0.42425208,5.0,8,0,8,0.3907,0.0,6.893,Low
RING-006,109.23735619,-0.42841371,5.0,8,0,8,0.3915,0.0,6.885,Low
RING-016,109.2382452,-0.42603501,5.0,6,0,6,0.3758,0.0,5.342,Low
RING-019,109.23825409,-0.4256622,5.0,6,0,6,0.3859,0.0,5.241,Low
RING-032,109.23828016,-0.42324152,5.0,6,0,6,0.3919,0.0,5.181,Low
RING-013,109.23709456,-0.42712266,5.0,5,0,5,0.3783,0.0,4.467,Low
RING-003,109.23768271,-0.43054587,5.0,5,0,5,0.3817,0.0,4.433,Low
RING-022,109.23794234,-0.42516103,5.0,5,0,5,0.3866,0.0,4.384,Low
RING-009,109.23714524,-0.42803385,5.0,5,0,5,0.3909,0.0,4.341,Low
RING-024,109.23823881,-0.42491687,5.0,4,0,4,0.3748,0.0,3.652,Low
RING-034,109.23722449,-0.4224538,5.0,4,0,4,0.3879,0.0,3.521,Low
RING-011,109.23667758,-0.42773161,5.0,4,0,4,0.3896,0.0,3.504,Low
RING-020,109.23683048,-0.4256157,5.0,3,0,3,0.3677,0.0,2.873,Low
RING-004,109.23800236,-0.43024289,5.0,3,0,3,0.3747,0.0,2.803,Low
RING-001,109.23704399,-0.4307041,5.0,3,0,3,0.3763,0.0,2.787,Low
RING-010,109.23645938,-0.42792313,5.0,3,0,3,0.3772,0.0,2.778,Low
RING-008,109.23672711,-0.42817475,5.0,3,0,3,0.3815,0.0,2.735,Low
RING-017,109.23783528,-0.42572937,5.0,3,0,3,0.3822,0.0,2.728,Low
RING-021,109.23611024,-0.42548386,5.0,3,0,3,0.3833,0.0,2.717,Low
RING-025,109.23794171,-0.42476732,5.0,3,0,3,0.3885,0.0,2.665,Low
RING-018,109.23804679,-0.42577956,5.0,3,0,3,0.3891,0.0,2.659,Low
RING-002,109.2382136,-0.43059118,5.0,3,0,3,0.3904,0.0,2.646,Low
RING-028,109.23810446,-0.42442101,5.0,3,0,3,0.3933,0.0,2.617,Low
