Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-011,109.23221244,-0.44006981,5.0,8,6,2,0.3491,5.59,11.809,Medium
RING-010,109.23196125,-0.43461922,5.0,4,4,0,0.3325,6.63,7.075,Medium
RING-006,109.23178112,-0.43345349,5.0,5,3,2,0.3606,4.98,6.894,Low
RING-002,109.23311123,-0.43131134,5.0,3,3,0,0.1983,7.0,6.817,Low
RING-015,109.2330687,-0.43459812,5.0,4,3,1,0.3458,4.32,6.193,Low
RING-012,109.23138636,-0.43730462,5.0,3,3,0,0.3103,6.24,5.697,Low
RING-007,109.2330531,-0.43986644,5.0,3,3,0,0.332,8.16,5.48,Low
RING-017,109.23289828,-0.43350045,5.0,3,3,0,0.3357,4.83,5.443,Low
RING-004,109.23247225,-0.43652839,5.0,3,3,0,0.3697,7.47,5.103,Low
RING-019,109.23257668,-0.43553621,5.0,4,2,2,0.4007,3.43,4.9,Low
RING-003,109.23281659,-0.43136432,5.0,3,2,1,0.3253,7.86,4.797,Low
RING-005,109.23137908,-0.4331973,5.0,3,2,1,0.3493,5.61,4.557,Low
RING-009,109.23259116,-0.43379502,5.0,3,2,1,0.3523,5.61,4.527,Low
RING-008,109.23354025,-0.43926761,5.0,3,2,1,0.3527,5.75,4.523,Low
RING-001,109.23236359,-0.43896755,5.0,3,2,1,0.36,8.57,4.45,Low
RING-013,109.23336578,-0.4337616,5.0,3,2,1,0.3617,5.0,4.433,Low
RING-016,109.23316799,-0.43832403,5.0,3,2,1,0.376,4.44,4.29,Low
RING-014,109.233349,-0.43313567,5.0,3,1,2,0.375,3.46,3.55,Low
RING-018,109.23274499,-0.43985566,5.0,3,1,2,0.385,4.19,3.45,Low
RING-020,109.23309108,-0.4329983,5.0,3,1,2,0.4097,3.12,3.3,Low
