Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
1,109.23144515,-0.44081581,17.9,0.4871658384799957,Healthy,Healthy,,D009A,0.4871658384799957,Healthy,Good,,D09
2,109.23177582,-0.4403565,17.81,0.494083046913147,Healthy,Healthy,,D009A,0.494083046913147,Healthy,Good,,D09
3,109.23167252,-0.44037276,17.39,0.5210433006286621,Healthy,Healthy,,D009A,0.5210433006286621,Healthy,Good,,D09
4,109.23220019,-0.44063875,17.36,0.4298862218856811,Abnormal,Abnormal,Monitor,D009A,0.4298862218856811,Abnormal,Sub-Optimal,Monitor,D09
5,109.23240534,-0.44486865,17.36,0.506083607673645,Healthy,Healthy,,D009A,0.506083607673645,Healthy,Good,,D09
6,109.23180051,-0.44043473,17.27,0.4504629373550415,Normal,Normal,Routine,D009A,0.4504629373550415,Normal,Moderate,Routine,D09
7,109.23223346,-0.44050175,17.19,0.3489976525306701,Suspect,Suspect,Priority Survey,D009A,0.3489976525306701,Suspect,Critical,Priority Survey,D09
8,109.2320434,-0.44082228,17.08,0.5354169607162476,Healthy,Healthy,,D009A,0.5354169607162476,Healthy,Good,,D09
9,109.23242872,-0.44476375,17.08,0.3895849287509918,Suspect,Suspect,Priority Survey,D009A,0.3895849287509918,Suspect,Critical,Priority Survey,D09
10,109.2315508,-0.44037182,17.07,0.420891523361206,Abnormal,Abnormal,Monitor,D009A,0.420891523361206,Abnormal,Sub-Optimal,Monitor,D09
11,109.23180811,-0.44058168,16.97,0.438791424036026,Normal,Normal,Routine,D009A,0.438791424036026,Normal,Moderate,Routine,D09
12,109.23196572,-0.44070968,16.75,0.429286390542984,Abnormal,Abnormal,Monitor,D009A,0.429286390542984,Abnormal,Sub-Optimal,Monitor,D09
13,109.23237356,-0.44060804,16.72,0.3776606619358063,Suspect,Suspect,Priority Survey,D009A,0.3776606619358063,Suspect,Critical,Priority Survey,D09
