Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name
1,109.2313881343526,-0.44900922013828987,0.0,0.45106395719900194,Normal,Normal,Routine,D009A
2,109.23144994234012,-0.44901777085394595,0.0,0.4572358138171561,Normal,Normal,Routine,D009A
3,109.23160438865584,-0.44902795378407906,0.0,0.415527414014003,Normal,Normal,Routine,D009A
4,109.23171931744818,-0.4490376532356389,0.0,0.44422162022374223,Normal,Normal,Routine,D009A
5,109.2318670241742,-0.44902865709105394,0.0,0.46392030651357,Normal,Normal,Routine,D009A
6,109.23196067484974,-0.4490378503771742,0.0,0.39684320188402655,Abnormal,Abnormal,Monitor,D009A
7,109.23213785769904,-0.44903167286471213,0.0,0.48170443961841064,Normal,Normal,Routine,D009A
8,109.2322040210591,-0.44906794316150783,0.0,0.45411304450042406,Normal,Normal,Routine,D009A
9,109.23230787743874,-0.44904173297555783,0.0,0.4374292129510599,Normal,Normal,Routine,D009A
10,109.23237917800762,-0.4490406733182012,0.0,0.4586874957774526,Normal,Normal,Routine,D009A
11,109.23246568611803,-0.4490554091097362,0.0,0.43100425527826125,Normal,Normal,Routine,D009A
12,109.23254485971415,-0.4490519884386434,0.0,0.43428660592430396,Normal,Normal,Routine,D009A
13,109.23263597805072,-0.44904309334396014,0.0,0.4684247920453146,Normal,Normal,Routine,D009A
14,109.23272082044048,-0.4490629723739243,0.0,0.43880800237572243,Normal,Normal,Routine,D009A
15,109.2327686192799,-0.4490704661689873,0.0,0.45111779747585046,Normal,Normal,Routine,D009A
16,109.23286178772703,-0.44906055966127184,0.0,0.4572013152807787,Normal,Normal,Routine,D009A
17,109.2329461066878,-0.4490606877977778,0.0,0.4330857910909781,Normal,Normal,Routine,D009A
18,109.23302774012897,-0.44905578557547643,0.0,0.41892667735197237,Normal,Normal,Routine,D009A
19,109.2331126593489,-0.44905879675735744,0.0,0.445907580131411,Normal,Normal,Routine,D009A
20,109.23319429935174,-0.4490565251366676,0.0,0.4445745953206966,Normal,Normal,Routine,D009A
21,109.23327902931563,-0.4490509237377408,0.0,0.4260941332046769,Normal,Normal,Routine,D009A
22,109.23337967016502,-0.44904621061260563,0.0,0.4121961454927593,Normal,Normal,Routine,D009A
23,109.23346879439343,-0.44905221332715256,0.0,0.4410217297340625,Normal,Normal,Routine,D009A
24,109.23356809385417,-0.44905240116788214,0.0,0.45087389252455773,Normal,Normal,Routine,D009A
25,109.23142091009805,-0.44891734069792394,0.0,0.48171203515663347,Normal,Normal,Routine,D009A
26,109.23149866508652,-0.4489446196681805,0.0,0.46960250249805263,Normal,Normal,Routine,D009A
27,109.23157478988534,-0.4489450288645131,0.0,0.47744419727541854,Normal,Normal,Routine,D009A
28,109.23164773745114,-0.4489493863516901,0.0,0.5000464173955173,Healthy,Healthy,None,D009A
29,109.23173724665544,-0.44894914680786674,0.0,0.4511905157818153,Normal,Normal,Routine,D009A
30,109.23183090447777,-0.44895099629532026,0.0,0.45016626260849946,Normal,Normal,Routine,D009A
31,109.23191354235824,-0.44895264777021754,0.0,0.45185832856622943,Normal,Normal,Routine,D009A
32,109.23200700299542,-0.4489639425926671,0.0,0.46923178350267236,Normal,Normal,Routine,D009A
33,109.23206511953363,-0.44897072269577387,0.0,0.44260593889388034,Normal,Normal,Routine,D009A
34,109.23217426436568,-0.4489543245177517,0.0,0.44269240219231587,Normal,Normal,Routine,D009A
35,109.23223401539921,-0.44896262152446675,0.0,0.46189476253430534,Normal,Normal,Routine,D009A
36,109.232354278619,-0.4489704440381846,0.0,0.4421047532974925,Normal,Normal,Routine,D009A
37,109.23243637763707,-0.4489680359858949,0.0,0.4716055918712259,Normal,Normal,Routine,D009A
38,109.23252110971859,-0.4489796488021268,0.0,0.4638288750825051,Normal,Normal,Routine,D009A
39,109.23258465983729,-0.44896807208162065,0.0,0.43952853185570656,Normal,Normal,Routine,D009A
40,109.23265663357853,-0.44898422679118427,0.0,0.4540037761391179,Normal,Normal,Routine,D009A
41,109.23274086795207,-0.448984935465068,0.0,0.45888391372909654,Normal,Normal,Routine,D009A
42,109.2328161952804,-0.4489697869191954,0.0,0.44947457045846595,Normal,Normal,Routine,D009A
43,109.23291747181958,-0.44896989928452985,0.0,0.34626457967387,Abnormal,Abnormal,Monitor,D009A
44,109.23299305730166,-0.44898698901235,0.0,0.4347770639122831,Normal,Normal,Routine,D009A
45,109.23308557049565,-0.44898632335603256,0.0,0.4042572681436079,Normal,Normal,Routine,D009A
46,109.23317660943813,-0.44898271475456236,0.0,0.46702349728800996,Normal,Normal,Routine,D009A
47,109.23325087988651,-0.44898847511881207,0.0,0.49967764205545007,Normal,Normal,Routine,D009A
48,109.23334997884527,-0.44897442473949023,0.0,0.43432430595150384,Normal,Normal,Routine,D009A
49,109.2334450480138,-0.4489684659394061,0.0,0.4249422956820905,Normal,Normal,Routine,D009A
50,109.23138375587962,-0.4488759103267176,0.0,0.46672290696017843,Normal,Normal,Routine,D009A
51,109.23146360660269,-0.44888794787954117,0.0,0.4673703640589752,Normal,Normal,Routine,D009A
52,109.23154607651956,-0.4488745192571119,0.0,0.4676701263466045,Normal,Normal,Routine,D009A
53,109.2316250392826,-0.44886984156573734,0.0,0.4475266875847717,Normal,Normal,Routine,D009A
54,109.23169756597623,-0.4488724690267048,0.0,0.4733272558655601,Normal,Normal,Routine,D009A
55,109.23196485872626,-0.44890813176490846,0.0,0.4500410515172413,Normal,Normal,Routine,D009A
56,109.23204158726412,-0.4488857645662485,0.0,0.4809341972890591,Normal,Normal,Routine,D009A
57,109.23212786871802,-0.44888294698130193,0.0,0.3736957055333929,Abnormal,Abnormal,Monitor,D009A
58,109.23228845698404,-0.44889889628044033,0.0,0.4359656966269126,Normal,Normal,Routine,D009A
59,109.23238764790472,-0.4489131432150605,0.0,0.477489982905122,Normal,Normal,Routine,D009A
60,109.23248521991849,-0.44890963387437766,0.0,0.46972015478148477,Normal,Normal,Routine,D009A
61,109.23254770009544,-0.44891342633242826,0.0,0.44520464462060083,Normal,Normal,Routine,D009A
62,109.2326169037541,-0.4489100909445676,0.0,0.4403990496521347,Normal,Normal,Routine,D009A
63,109.23269769125075,-0.44891165424217955,0.0,0.47525431537321666,Normal,Normal,Routine,D009A
64,109.23276328311289,-0.44892266103842854,0.0,0.4439409816967413,Normal,Normal,Routine,D009A
65,109.2329504376978,-0.4489241932486131,0.0,0.39979807897546665,Abnormal,Abnormal,Monitor,D009A
66,109.23312317681481,-0.44891083087468386,0.0,0.4079477200932899,Normal,Normal,Routine,D009A
67,109.23321736787753,-0.4489218446279155,0.0,0.4796292475302112,Normal,Normal,Routine,D009A
