DIVISI,BLOK_B,Blok,T_TANAM,N_BARIS,N_POKOK,OBJECTID,NDRE125,KlassNDRE12025,NDRE2_26,KLASSNDRE2_26,Ket,Longitude_SR,Latitude_SR,Drone_TreeID,Drone_Lon,Drone_Lat,Drone_Height_m,NDRE_Drone_Rel,NDRE_Drone_Abs,HS_Drone_Rel,HS_Drone_Abs
AME II,D009A,D09,2009,1,2,29613,0.41611848188341233,Stres Sedang,0.4572358138171561,Stres Sedang,Pokok Utama,109.23144994234012,-0.44901777085394595,1117,109.23142343,-0.44902501,8.95,0.483,0.483,Healthy,Good
AME II,D009A,D09,2009,1,5,29618,0.4112210006386319,Stres Sedang,0.46392030651357,Stres Sedang,Pokok Utama,109.2318670241742,-0.44902865709105394,276,109.23187078,-0.44899528,12.63,0.414,0.414,Healthy,Sub-Optimal
AME II,D009A,D09,2009,1,7,29621,0.4460960548849882,Stres Sedang,0.48170443961841064,Stres Sedang,Pokok Utama,109.23213785769904,-0.44903167286471213,270,109.23210792,-0.44901523,12.67,0.469,0.469,Healthy,Good
AME II,D009A,D09,2009,1,10,29624,0.41377335874929255,Stres Sedang,0.4586874957774526,Stres Sedang,Pokok Utama,109.23237917800762,-0.4490406733182012,503,109.23235314,-0.44902343,11.15,0.469,0.469,Healthy,Good
AME II,D009A,D09,2009,1,12,29626,0.39131245537552156,Stres Berat,0.43428660592430396,Stres Sedang,Pokok Utama,109.23254485971415,-0.4490519884386434,2942,109.23256018,-0.44908181,3.73,0.451,0.451,Abnormal,Moderate
AME II,D009A,D09,2009,1,13,29627,0.4253283743007029,Stres Sedang,0.4684247920453146,Stres Sedang,Pokok Utama,109.23263597805072,-0.44904309334396014,3152,109.23264822,-0.44905153,1.93,0.427,0.427,TBM,Sub-Optimal
AME II,D009A,D09,2009,1,14,29628,0.3911726132635549,Stres Berat,0.43880800237572243,Stres Sedang,Pokok Utama,109.23272082044048,-0.4490629723739243,2223,109.23275467,-0.44905111,6.34,0.445,0.445,Healthy,Moderate
AME II,D009A,D09,2009,1,15,29629,0.44867442194418333,Stres Sedang,0.45111779747585046,Stres Sedang,Pokok Utama,109.2327686192799,-0.4490704661689873,2223,109.23275467,-0.44905111,6.34,0.445,0.445,Healthy,Moderate
AME II,D009A,D09,2009,1,16,29630,0.44723084921706213,Stres Sedang,0.4572013152807787,Stres Sedang,Pokok Utama,109.23286178772703,-0.44906055966127184,2147,109.23284898,-0.44908911,6.53,0.54,0.54,Healthy,Good
AME II,D009A,D09,2009,1,18,29632,0.365577038236831,Stres Berat,0.41892667735197237,Stres Sedang,Pokok Utama,109.23302774012897,-0.44905578557547643,2693,109.23299316,-0.44904664,4.84,0.44,0.44,Healthy,Moderate
AME II,D009A,D09,2009,1,20,29634,0.3794854924563965,Stres Berat,0.4445745953206966,Stres Sedang,Pokok Utama,109.23319429935174,-0.4490565251366676,2724,109.23321144,-0.44904986,4.73,0.48,0.48,Healthy,Good
AME II,D009A,D09,2009,1,21,29635,0.38173692725482494,Stres Berat,0.4260941332046769,Stres Sedang,Pokok Utama,109.23327902931563,-0.4490509237377408,2766,109.23330082,-0.44904853,4.63,0.5,0.5,Healthy,Good
AME II,D009A,D09,2009,1,23,29637,0.4675230055084495,Stres Sedang,0.4410217297340625,Stres Sedang,Pokok Utama,109.23346879439343,-0.44905221332715256,2060,109.23343421,-0.44904856,6.75,0.395,0.395,Healthy,Sub-Optimal
AME II,D009A,D09,2009,2,3,29068,0.4753415398993341,Stres Sedang,0.47744419727541854,Stres Sedang,Pokok Utama,109.23157478988534,-0.4489450288645131,944,109.23157616,-0.44894231,9.49,0.477,0.477,Healthy,Good
AME II,D009A,D09,2009,2,7,29073,0.41278629464706657,Stres Sedang,0.45185832856622943,Stres Sedang,Pokok Utama,109.23191354235824,-0.44895264777021754,281,109.23193681,-0.44896862,12.61,0.493,0.493,Healthy,Good
AME II,D009A,D09,2009,2,8,29071,0.39472074999581547,Stres Berat,0.46923178350267236,Stres Sedang,Pokok Utama,109.23200700299542,-0.4489639425926671,462,109.23199699,-0.44899305,11.36,0.452,0.452,Healthy,Moderate
AME II,D009A,D09,2009,2,10,29072,0.4310510894663524,Stres Sedang,0.44269240219231587,Stres Sedang,Pokok Utama,109.23217426436568,-0.4489543245177517,136,109.23218024,-0.44897727,13.88,0.476,0.476,Healthy,Good
AME II,D009A,D09,2009,2,12,29608,0.3859307031135716,Stres Berat,0.4421047532974925,Stres Sedang,Pokok Utama,109.232354278619,-0.4489704440381846,501,109.23234867,-0.44894385,11.16,0.472,0.472,Healthy,Good
AME II,D009A,D09,2009,2,13,29607,0.38978215295585034,Stres Berat,0.4716055918712259,Stres Sedang,Pokok Utama,109.23243637763707,-0.4489680359858949,443,109.23244613,-0.44898185,11.45,0.515,0.515,Healthy,Good
AME II,D009A,D09,2009,2,15,29605,0.3916292677944754,Stres Berat,0.43952853185570656,Stres Sedang,Pokok Utama,109.23258465983729,-0.44896807208162065,2911,109.2325948,-0.44893803,3.93,0.452,0.452,Abnormal,Moderate
AME II,D009A,D09,2009,2,17,29603,0.42187265336872193,Stres Sedang,0.45888391372909654,Stres Sedang,Pokok Utama,109.23274086795207,-0.448984935465068,3014,109.23271785,-0.44900905,3.18,0.433,0.433,Abnormal,Moderate
AME II,D009A,D09,2009,2,18,29062,0.44375422101995654,Stres Sedang,0.44947457045846595,Stres Sedang,Pokok Utama,109.2328161952804,-0.4489697869191954,2578,109.23281128,-0.44896657,5.23,0.49,0.49,Healthy,Good
AME II,D009A,D09,2009,2,19,29602,0.37827851793852196,Stres Berat,0.34626457967387,Stres Berat,Mati Jan26,109.23291747181958,-0.44896989928452985,2695,109.23291637,-0.44900096,4.84,0.355,0.355,Suspect,Critical
AME II,D009A,D09,2009,2,21,29600,0.3731428439174818,Stres Berat,0.4042572681436079,Stres Sedang,Pokok Utama,109.23308557049565,-0.44898632335603256,2562,109.23310366,-0.44900281,5.28,0.45,0.45,Healthy,Moderate
AME II,D009A,D09,2009,2,22,29599,0.40880975011562054,Stres Sedang,0.46702349728800996,Stres Sedang,Pokok Utama,109.23317660943813,-0.44898271475456236,3010,109.23317508,-0.44894722,3.2,0.44,0.44,Abnormal,Moderate
AME II,D009A,D09,2009,2,23,29598,0.4359628599940882,Stres Sedang,0.49967764205545007,Stres Sedang,Pokok Utama,109.23325087988651,-0.44898847511881207,2978,109.23323571,-0.44898973,3.5,0.527,0.527,Abnormal,Good
AME II,D009A,D09,2009,2,24,29597,0.411970020038051,Stres Sedang,0.43432430595150384,Stres Sedang,Pokok Utama,109.23334997884527,-0.44897442473949023,3052,109.23336057,-0.44896309,2.95,0.457,0.457,Abnormal,Moderate
AME II,D009A,D09,2009,3,1,29590,0.3773736340633358,Stres Berat,0.46672290696017843,Stres Sedang,Pokok Utama,109.23138375587962,-0.4488759103267176,2542,109.23135386,-0.44886719,5.36,0.348,0.348,Suspect,Critical
AME II,D009A,D09,2009,3,2,29045,0.4399819515089978,Stres Sedang,0.4673703640589752,Stres Sedang,Pokok Utama,109.23146360660269,-0.44888794787954117,1679,109.23147827,-0.44885999,7.64,0.461,0.461,Healthy,Good
AME II,D009A,D09,2009,3,4,29046,0.429603502895337,Stres Sedang,0.4475266875847717,Stres Sedang,Pokok Utama,109.2316250392826,-0.44886984156573734,556,109.23159953,-0.44889122,10.86,0.437,0.437,Healthy,Moderate
AME II,D009A,D09,2009,3,5,29048,0.43915477628881255,Stres Sedang,0.4733272558655601,Stres Sedang,Pokok Utama,109.23169756597623,-0.4488724690267048,368,109.23167903,-0.44884602,11.94,0.425,0.425,Healthy,Sub-Optimal
AME II,D009A,D09,2009,3,6,29053,0.36988430897258734,Stres Berat,0.4500410515172413,Stres Sedang,Pokok Utama,109.23196485872626,-0.44890813176490846,448,109.23196242,-0.44893607,11.44,0.406,0.406,Healthy,Sub-Optimal
AME II,D009A,D09,2009,3,11,29055,0.40584789535770677,Stres Sedang,0.46972015478148477,Stres Sedang,Pokok Utama,109.23248521991849,-0.44890963387437766,3049,109.23248477,-0.4488946,2.96,0.444,0.444,Abnormal,Moderate
