Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-007,109.23716504,-0.44695712,5.0,9,5,4,0.3757,5.57,11.643,Medium
RING-017,109.23812589,-0.4480989,5.0,6,6,0,0.3409,2.56,10.191,Medium
RING-020,109.23809682,-0.4469591,5.0,6,5,1,0.3487,2.19,9.363,Medium
RING-016,109.23803356,-0.44750839,5.0,5,4,1,0.3231,3.4,8.019,Medium
RING-013,109.23679104,-0.44306825,5.0,5,4,1,0.3643,8.55,7.607,Medium
RING-019,109.23806707,-0.44066429,5.0,5,3,2,0.3576,6.81,6.924,Low
RING-018,109.23607777,-0.44741251,5.0,5,3,2,0.3626,7.07,6.874,Low
RING-002,109.23761426,-0.44517049,5.0,5,3,2,0.3952,6.81,6.548,Low
RING-024,109.23813217,-0.4465894,5.0,3,3,0,0.2887,0.91,5.913,Low
RING-022,109.23812974,-0.44101515,5.0,3,3,0,0.3209,6.33,5.591,Low
RING-004,109.23814039,-0.44220144,5.0,3,3,0,0.3434,5.29,5.366,Low
RING-010,109.23682673,-0.44863377,5.0,5,1,4,0.3876,7.89,5.124,Low
RING-005,109.23628261,-0.4402979,5.0,3,2,1,0.3487,7.8,4.563,Low
RING-014,109.23740348,-0.44486232,5.0,3,2,1,0.3567,3.72,4.483,Low
RING-012,109.23804406,-0.44625735,5.0,3,2,1,0.367,6.52,4.38,Low
RING-021,109.23706034,-0.44422199,5.0,3,2,1,0.373,4.08,4.32,Low
RING-023,109.23598063,-0.44794096,5.0,3,2,1,0.3798,7.97,4.252,Low
RING-001,109.23660854,-0.44912002,5.0,3,2,1,0.3878,13.29,4.172,Low
RING-008,109.23687562,-0.4489905,5.0,4,1,3,0.4089,8.37,4.15,Low
RING-006,109.23620719,-0.44710103,5.0,4,0,4,0.4176,8.79,3.4,Low
RING-015,109.23600811,-0.4482424,5.0,3,1,2,0.3966,6.13,3.334,Low
RING-003,109.23612239,-0.4486373,5.0,3,0,3,0.428,10.38,2.55,Low
RING-009,109.23784876,-0.44407659,5.0,3,0,3,0.4183,9.83,2.55,Low
RING-011,109.2380214,-0.44901079,5.0,3,0,3,0.4213,9.39,2.55,Low
