Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
77,109.23650718,-0.44914064,13.89,0.367821604013443,Suspect,Suspect,Priority Survey,D011A,0.367821604013443,Suspect,Critical,Priority Survey,D11,RING-001,11.511,5.0
136,109.23660555,-0.44910766,12.71,0.3769439160823822,Suspect,Suspect,Priority Survey,D011A,0.3769439160823822,Suspect,Critical,Priority Survey,D11,RING-001,1.406,5.0
98,109.23671289,-0.44911175,13.27,0.4187437891960144,Abnormal,Abnormal,Monitor,D011A,0.4187437891960144,Abnormal,Sub-Optimal,Monitor,D11,RING-001,11.652,5.0
152,109.23766104,-0.4452357,12.57,0.4189332127571106,Abnormal,Abnormal,Monitor,D011A,0.4189332127571106,Abnormal,Sub-Optimal,Monitor,D11,RING-002,8.893,5.0
823,109.23759323,-0.44520042,8.95,0.375493049621582,Suspect,Suspect,Priority Survey,D011A,0.375493049621582,Suspect,Critical,Priority Survey,D11,RING-002,4.053,5.0
1130,109.23761751,-0.4451109,0.99,0.3869289755821228,Suspect,Suspect,Priority Survey,D011A,0.3869289755821228,Suspect,Critical,Priority Survey,D11,RING-002,6.597,5.0
481,109.237697,-0.44511408,10.72,0.4085235297679901,Abnormal,Abnormal,Monitor,D011A,0.4085235297679901,Abnormal,Sub-Optimal,Monitor,D11,RING-002,11.123,5.0
1149,109.23750251,-0.44519135,0.8,0.3862276077270508,Suspect,Suspect,Priority Survey,D011A,0.3862276077270508,Suspect,Critical,Priority Survey,D11,RING-002,12.651,5.0
228,109.23603706,-0.44862417,12.03,0.4266396164894104,Abnormal,Abnormal,Monitor,D011A,0.4266396164894104,Abnormal,Sub-Optimal,Monitor,D11,RING-003,9.609,5.0
771,109.23613272,-0.44861741,9.24,0.4280700981616974,Abnormal,Abnormal,Monitor,D011A,0.4280700981616974,Abnormal,Sub-Optimal,Monitor,D11,RING-003,2.482,5.0
670,109.23619739,-0.44867033,9.88,0.4294081628322601,Abnormal,Abnormal,Monitor,D011A,0.4294081628322601,Abnormal,Sub-Optimal,Monitor,D11,RING-003,9.112,5.0
272,109.23809563,-0.44220911,11.76,0.3804891705513,Suspect,Suspect,Priority Survey,D011A,0.3804891705513,Suspect,Critical,Priority Survey,D11,RING-004,5.055,5.0
1103,109.23816301,-0.44214628,1.4,0.3467661142349243,Suspect,Suspect,Priority Survey,D011A,0.3467661142349243,Suspect,Critical,Priority Survey,D11,RING-004,6.596,5.0
1087,109.23816254,-0.44224892,2.72,0.302978903055191,Suspect,Suspect,Priority Survey,D011A,0.302978903055191,Suspect,Critical,Priority Survey,D11,RING-004,5.799,5.0
301,109.23630265,-0.44038517,11.63,0.3989385068416595,Abnormal,Abnormal,Monitor,D011A,0.3989385068416595,Abnormal,Sub-Optimal,Monitor,D11,RING-005,9.902,5.0
507,109.23630088,-0.44030016,10.62,0.3870907723903656,Suspect,Suspect,Priority Survey,D011A,0.3870907723903656,Suspect,Critical,Priority Survey,D11,RING-005,2.049,5.0
1113,109.23624431,-0.44020836,1.16,0.2602090239524841,Suspect,Suspect,Priority Survey,D011A,0.2602090239524841,Suspect,Critical,Priority Survey,D11,RING-005,10.777,5.0
319,109.23613082,-0.447185,11.54,0.4003522396087646,Abnormal,Abnormal,Monitor,D011A,0.4003522396087646,Abnormal,Sub-Optimal,Monitor,D11,RING-006,12.587,5.0
864,109.23622021,-0.44713438,8.55,0.4210307598114013,Abnormal,Abnormal,Monitor,D011A,0.4210307598114013,Abnormal,Sub-Optimal,Monitor,D11,RING-006,3.961,5.0
946,109.23619194,-0.44703852,7.45,0.4294195771217346,Abnormal,Abnormal,Monitor,D011A,0.4294195771217346,Abnormal,Sub-Optimal,Monitor,D11,RING-006,7.116,5.0
938,109.23628581,-0.44704623,7.62,0.4197168946266174,Abnormal,Abnormal,Monitor,D011A,0.4197168946266174,Abnormal,Sub-Optimal,Monitor,D11,RING-006,10.643,5.0
338,109.23718504,-0.44677923,11.42,0.4076642394065857,Abnormal,Abnormal,Monitor,D011A,0.4076642394065857,Abnormal,Sub-Optimal,Monitor,D11,RING-007,19.789,5.0
934,109.23724072,-0.44683666,7.69,0.3377798795700073,Suspect,Suspect,Priority Survey,D011A,0.3377798795700073,Suspect,Critical,Priority Survey,D11,RING-007,15.757,5.0
1073,109.23714999,-0.4468493,3.75,0.3839024007320404,Suspect,Suspect,Priority Survey,D011A,0.3839024007320404,Suspect,Critical,Priority Survey,D11,RING-007,12.035,5.0
787,109.23717961,-0.44694471,9.16,0.427392303943634,Abnormal,Abnormal,Monitor,D011A,0.427392303943634,Abnormal,Sub-Optimal,Monitor,D11,RING-007,2.124,5.0
1111,109.23707676,-0.44693971,1.18,0.3488739430904388,Suspect,Suspect,Priority Survey,D011A,0.3488739430904388,Suspect,Critical,Priority Survey,D11,RING-007,10.013,5.0
1116,109.23727438,-0.44695649,1.13,0.4179627895355224,Abnormal,Abnormal,Monitor,D011A,0.4179627895355224,Abnormal,Sub-Optimal,Monitor,D11,RING-007,12.172,5.0
1058,109.23718319,-0.44701841,4.46,0.3174535632133484,Suspect,Suspect,Priority Survey,D011A,0.3174535632133484,Suspect,Critical,Priority Survey,D11,RING-007,7.07,5.0
1126,109.23713241,-0.44710928,1.04,0.3393570184707641,Suspect,Suspect,Priority Survey,D011A,0.3393570184707641,Suspect,Critical,Priority Survey,D11,RING-007,17.208,5.0
584,109.23706323,-0.44718026,10.27,0.4006801545619964,Abnormal,Abnormal,Monitor,D011A,0.4006801545619964,Abnormal,Sub-Optimal,Monitor,D11,RING-007,27.145,5.0
387,109.23685081,-0.44895173,11.16,0.4012613594532013,Abnormal,Abnormal,Monitor,D011A,0.4012613594532013,Abnormal,Sub-Optimal,Monitor,D11,RING-008,5.099,5.0
