Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-014,109.24183416,-0.42290602,5.0,18,11,7,0.3507,5.05,24.043,High
RING-019,109.24176051,-0.42364882,5.0,8,4,4,0.3964,4.74,9.836,Medium
RING-025,109.24182223,-0.42588655,5.0,6,3,3,0.382,4.36,7.53,Medium
RING-011,109.24084031,-0.42404229,5.0,5,3,2,0.371,6.98,6.79,Low
RING-016,109.24140426,-0.42277181,5.0,3,3,0,0.2499,6.38,6.301,Low
RING-017,109.24111524,-0.42375849,5.0,6,1,5,0.3968,6.48,5.882,Low
RING-010,109.24219017,-0.42905252,5.0,5,2,3,0.3987,7.78,5.763,Low
RING-024,109.24213746,-0.42713373,5.0,3,3,0,0.3623,4.28,5.177,Low
RING-015,109.24120715,-0.4272672,5.0,5,1,4,0.4065,6.53,5.0,Low
RING-026,109.24106064,-0.42589997,5.0,4,2,2,0.3966,4.82,4.934,Low
RING-001,109.24177875,-0.42416026,5.0,4,2,2,0.3981,12.98,4.919,Low
RING-013,109.24065793,-0.42350563,5.0,3,2,1,0.3507,6.41,4.543,Low
RING-006,109.241852,-0.43026225,5.0,3,2,1,0.3719,10.01,4.331,Low
RING-023,109.24200152,-0.42383721,5.0,3,2,1,0.3845,4.7,4.205,Low
RING-022,109.24145307,-0.42343483,5.0,3,2,1,0.3855,5.02,4.195,Low
RING-029,109.24104617,-0.42679873,5.0,4,1,3,0.398,4.01,4.17,Low
RING-020,109.24069174,-0.4229507,5.0,3,1,2,0.3699,5.41,3.601,Low
RING-018,109.24224173,-0.42650477,5.0,4,0,4,0.4119,4.42,3.4,Low
RING-003,109.24113099,-0.42564193,5.0,4,0,4,0.4197,9.79,3.4,Low
RING-028,109.24106143,-0.42339736,5.0,3,1,2,0.3944,4.14,3.356,Low
RING-002,109.24067119,-0.42775525,5.0,3,1,2,0.3952,11.56,3.348,Low
RING-021,109.24131916,-0.42305077,5.0,3,1,2,0.3962,5.65,3.338,Low
RING-008,109.24109389,-0.42815851,5.0,3,1,2,0.4008,8.9,3.3,Low
RING-005,109.24104311,-0.42891043,5.0,3,1,2,0.4098,11.84,3.3,Low
RING-009,109.24169714,-0.42722451,5.0,3,1,2,0.4133,8.49,3.3,Low
RING-007,109.24086693,-0.42615046,5.0,3,0,3,0.3999,9.49,2.551,Low
RING-004,109.24163594,-0.42905179,5.0,3,0,3,0.4194,8.74,2.55,Low
RING-012,109.24182381,-0.42517178,5.0,3,0,3,0.4071,8.07,2.55,Low
RING-027,109.24229615,-0.42583308,5.0,3,0,3,0.4089,3.93,2.55,Low
