Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-023,109.24183158,-0.42292572,5.0,20,15,5,0.2948,5.07,29.302,High
RING-027,109.24183189,-0.42371366,5.0,12,10,2,0.3407,5.0,18.293,High
RING-029,109.24107347,-0.42375446,5.0,9,9,0,0.3467,6.3,14.933,High
RING-008,109.24096618,-0.42600406,5.0,8,8,0,0.3396,7.47,13.404,High
RING-010,109.24077313,-0.42402783,5.0,7,7,0,0.3073,7.9,12.127,High
RING-020,109.24193421,-0.42518496,5.0,7,7,0,0.3533,7.69,11.667,Medium
RING-001,109.24177366,-0.42411836,5.0,7,7,0,0.3534,12.07,11.666,Medium
RING-017,109.24185265,-0.42584381,5.0,8,5,3,0.3341,4.96,11.209,Medium
RING-024,109.24117368,-0.42721507,5.0,7,5,2,0.354,5.99,10.16,Medium
RING-004,109.24113811,-0.42559159,5.0,6,6,0,0.363,8.91,9.97,Medium
RING-040,109.24097885,-0.42681461,5.0,7,4,3,0.3574,4.12,9.376,Medium
RING-019,109.24219017,-0.42905252,5.0,5,5,0,0.333,7.78,8.67,Medium
RING-012,109.2407041,-0.42458221,5.0,5,4,1,0.3532,7.27,7.718,Medium
RING-003,109.24069995,-0.42780216,5.0,5,4,1,0.3542,9.16,7.708,Medium
RING-037,109.24220517,-0.42592942,5.0,5,4,1,0.3554,4.85,7.696,Medium
RING-039,109.24236826,-0.42964352,5.0,5,4,1,0.367,4.88,7.58,Medium
RING-016,109.24064044,-0.4235496,5.0,4,4,0,0.3058,7.4,7.343,Medium
RING-034,109.24224376,-0.42291015,5.0,5,3,2,0.3378,4.8,7.122,Medium
RING-036,109.24145505,-0.42577787,5.0,5,3,2,0.353,4.73,6.97,Low
RING-028,109.24197092,-0.42742099,5.0,4,4,0,0.3473,6.43,6.928,Low
RING-007,109.24102256,-0.42893718,5.0,4,4,0,0.3605,11.78,6.795,Low
RING-031,109.24162664,-0.42550402,5.0,4,4,0,0.3668,5.89,6.732,Low
RING-042,109.24212009,-0.42717327,5.0,5,2,3,0.3396,3.97,6.354,Low
RING-025,109.24140426,-0.42277181,5.0,3,2,1,0.177,6.38,6.28,Low
RING-026,109.24095029,-0.4272538,5.0,4,3,1,0.347,4.85,6.18,Low
RING-041,109.24143454,-0.4234294,5.0,4,3,1,0.3585,4.52,6.065,Low
RING-032,109.24223476,-0.42753387,5.0,4,3,1,0.3633,5.02,6.018,Low
RING-009,109.241852,-0.43026225,5.0,3,3,0,0.3063,10.01,5.737,Low
RING-005,109.24171449,-0.42992597,5.0,3,3,0,0.327,10.8,5.53,Low
RING-047,109.24106143,-0.42339736,5.0,3,3,0,0.3307,4.14,5.493,Low
RING-038,109.24131916,-0.42305077,5.0,3,3,0,0.3353,5.65,5.447,Low
RING-035,109.24181426,-0.42898853,5.0,3,3,0,0.3413,6.0,5.387,Low
RING-013,109.24109389,-0.42815851,5.0,3,3,0,0.3437,8.9,5.363,Low
RING-014,109.24169714,-0.42722451,5.0,3,3,0,0.349,8.49,5.31,Low
RING-015,109.24116468,-0.42428616,5.0,3,3,0,0.3497,9.25,5.303,Low
RING-018,109.24064006,-0.42325344,5.0,4,2,2,0.3598,6.36,5.303,Low
RING-002,109.24107428,-0.43073019,5.0,3,3,0,0.3503,12.43,5.297,Low
RING-006,109.24163594,-0.42905179,5.0,3,3,0,0.3537,8.74,5.263,Low
RING-021,109.24233809,-0.42643158,5.0,3,3,0,0.359,6.99,5.21,Low
RING-011,109.24114279,-0.42773938,5.0,3,3,0,0.3617,7.03,5.183,Low
RING-033,109.24069174,-0.4229507,5.0,3,2,1,0.3073,5.41,4.977,Low
RING-022,109.24179038,-0.42868965,5.0,3,2,1,0.3463,6.3,4.587,Low
RING-030,109.2414532,-0.42418645,5.0,3,2,1,0.3497,5.44,4.553,Low
RING-043,109.24096239,-0.42507647,5.0,3,2,1,0.3607,4.38,4.443,Low
RING-045,109.24155011,-0.4279541,5.0,3,2,1,0.383,4.2,4.22,Low
RING-044,109.24155048,-0.42628536,5.0,3,1,2,0.346,4.12,3.84,Low
RING-046,109.2415231,-0.42822659,5.0,3,1,2,0.3943,3.63,3.357,Low
