Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
16,109.24179917,-0.4242325,17.82,0.324,TM,Suspect,Circle_5m,E001A,0.3824624121189117,Suspect,Critical,Priority Survey,E01,RING-001,12.933,5.0
129,109.2418221,-0.42413529,12.29,0.34,TM,Suspect,Circle_5m,E001A,0.4087904989719391,Abnormal,Sub-Optimal,Monitor,E01,RING-001,5.708,5.0
30,109.24191238,-0.42412989,16.55,0.365,TM,Suspect,Circle_5m,E001A,0.436654269695282,Normal,Moderate,Routine,E01,RING-001,15.494,5.0
404,109.24175698,-0.42409639,8.36,0.36,TM,Suspect,Circle_5m,E001A,0.4163303971290588,Abnormal,Sub-Optimal,Monitor,E01,RING-001,3.057,5.0
459,109.24167704,-0.42407331,7.6,0.379,TM,Suspect,Circle_5m,E001A,0.437434047460556,Normal,Moderate,Routine,E01,RING-001,11.852,5.0
396,109.2417112,-0.42398425,8.43,0.378,TM,Suspect,Circle_5m,E001A,0.4404121339321136,Normal,Moderate,Routine,E01,RING-001,16.374,5.0
79,109.24173675,-0.42417687,13.46,0.328,TM,Suspect,Circle_5m,E001A,0.3847533762454986,Suspect,Critical,Priority Survey,E01,RING-001,7.663,5.0
56,109.24115408,-0.43072343,14.14,0.303,TM,Suspect,Circle_5m,E001A,0.3663259744644165,Suspect,Critical,Priority Survey,E01,RING-002,8.914,5.0
165,109.24107099,-0.43075009,11.59,0.379,TM,Suspect,Circle_5m,E001A,0.4452040791511535,Normal,Moderate,Routine,E01,RING-002,2.23,5.0
170,109.24099778,-0.43071706,11.55,0.369,TM,Suspect,Circle_5m,E001A,0.4280076324939728,Abnormal,Sub-Optimal,Monitor,E01,RING-002,8.639,5.0
66,109.24065893,-0.42767311,13.83,0.36,TM,Suspect,Circle_5m,E001A,0.4202719628810882,Abnormal,Sub-Optimal,Monitor,E01,RING-003,14.978,5.0
202,109.24068676,-0.42775857,11.05,0.339,TM,Suspect,Circle_5m,E001A,0.3952108919620514,Abnormal,Sub-Optimal,Monitor,E01,RING-003,5.037,5.0
281,109.24066788,-0.42783407,9.81,0.305,TM,Suspect,Circle_5m,E001A,0.3702132105827331,Suspect,Critical,Priority Survey,E01,RING-003,5.019,5.0
473,109.24070873,-0.4279331,7.37,0.368,TM,Suspect,Circle_5m,E001A,0.4302442371845245,Normal,Moderate,Routine,E01,RING-003,14.507,5.0
1059,109.24077747,-0.42781194,3.73,0.399,Kenthosan,Abnormal,Field_Verification,E001A,0.4577221870422363,Normal,Moderate,Routine,E01,RING-003,8.696,5.0
110,109.24106632,-0.42560868,12.62,0.366,TM,Suspect,Circle_5m,E001A,0.4214468896389007,Abnormal,Sub-Optimal,Monitor,E01,RING-004,8.212,5.0
366,109.24115885,-0.42558067,8.71,0.366,TM,Suspect,Circle_5m,E001A,0.429560512304306,Abnormal,Sub-Optimal,Monitor,E01,RING-004,2.605,5.0
508,109.24118717,-0.42547939,7.07,0.364,TM,Suspect,Circle_5m,E001A,0.4314766526222229,Normal,Moderate,Routine,E01,RING-004,13.552,5.0
487,109.24111754,-0.42550244,7.25,0.375,TM,Suspect,Circle_5m,E001A,0.4409452080726623,Normal,Moderate,Routine,E01,RING-004,10.117,5.0
267,109.24119566,-0.42566432,9.94,0.347,TM,Suspect,Circle_5m,E001A,0.4114155173301697,Abnormal,Sub-Optimal,Monitor,E01,RING-004,10.28,5.0
435,109.24110312,-0.42571404,7.88,0.36,TM,Suspect,Circle_5m,E001A,0.4165185093879699,Abnormal,Sub-Optimal,Monitor,E01,RING-004,14.085,5.0
126,109.24176286,-0.42984911,12.34,0.268,TM,Suspect,Circle_5m,E001A,0.3219576478004455,Suspect,Critical,Priority Survey,E01,RING-005,10.058,5.0
372,109.24171883,-0.42992145,8.7,0.376,TM,Suspect,Circle_5m,E001A,0.4336028099060058,Normal,Moderate,Routine,E01,RING-005,0.695,5.0
183,109.24166177,-0.43000734,11.37,0.337,TM,Suspect,Circle_5m,E001A,0.4075809121131897,Abnormal,Sub-Optimal,Monitor,E01,RING-005,10.74,5.0
130,109.24156813,-0.42901078,12.28,0.358,TM,Suspect,Circle_5m,E001A,0.4286779165267944,Abnormal,Sub-Optimal,Monitor,E01,RING-006,8.805,5.0
493,109.24166065,-0.42903296,7.21,0.36,TM,Suspect,Circle_5m,E001A,0.4189907908439636,Abnormal,Sub-Optimal,Monitor,E01,RING-006,3.449,5.0
544,109.24167904,-0.42911163,6.72,0.343,TM,Suspect,Circle_5m,E001A,0.4105220437049866,Abnormal,Sub-Optimal,Monitor,E01,RING-006,8.171,5.0
135,109.24105657,-0.42898308,12.18,0.351,TM,Suspect,Circle_5m,E001A,0.4127250909805298,Abnormal,Sub-Optimal,Monitor,E01,RING-007,6.331,5.0
141,109.24100404,-0.42890937,12.03,0.375,TM,Suspect,Circle_5m,E001A,0.4288375079631805,Abnormal,Sub-Optimal,Monitor,E01,RING-007,3.701,5.0
186,109.24106873,-0.42883885,11.32,0.343,TM,Suspect,Circle_5m,E001A,0.3879736959934234,Suspect,Critical,Priority Survey,E01,RING-007,12.023,5.0
166,109.24096089,-0.42901742,11.59,0.373,TM,Suspect,Circle_5m,E001A,0.4363953173160553,Normal,Moderate,Routine,E01,RING-007,11.216,5.0
144,109.24088613,-0.42598121,11.98,0.374,TM,Suspect,Circle_5m,E001A,0.4406777024269104,Normal,Moderate,Routine,E01,RING-008,9.263,5.0
848,109.24099213,-0.42597355,4.79,0.351,TM,Suspect,Circle_5m,E001A,0.4119850099086761,Abnormal,Sub-Optimal,Monitor,E01,RING-008,4.44,5.0
869,109.24107838,-0.42590981,4.67,0.322,TM,Suspect,Circle_5m,E001A,0.3854942917823791,Suspect,Critical,Priority Survey,E01,RING-008,16.264,5.0
790,109.24114216,-0.42587592,5.08,0.351,TM,Suspect,Circle_5m,E001A,0.4152846336364746,Abnormal,Sub-Optimal,Monitor,E01,RING-008,24.174,5.0
855,109.24102989,-0.42584062,4.75,0.306,TM,Suspect,Circle_5m,E001A,0.373796284198761,Suspect,Critical,Priority Survey,E01,RING-008,19.409,5.0
205,109.24086321,-0.42605084,11.04,0.336,TM,Suspect,Circle_5m,E001A,0.3952848613262176,Abnormal,Sub-Optimal,Monitor,E01,RING-008,12.575,5.0
434,109.24088564,-0.42615438,7.89,0.332,TM,Suspect,Circle_5m,E001A,0.39515221118927,Abnormal,Sub-Optimal,Monitor,E01,RING-008,18.881,5.0
303,109.24085194,-0.42624616,9.54,0.345,TM,Suspect,Circle_5m,E001A,0.4091188013553619,Abnormal,Sub-Optimal,Monitor,E01,RING-008,29.63,5.0
175,109.2418499,-0.43027054,11.47,0.272,TM,Suspect,Circle_5m,E001A,0.3360381722450256,Suspect,Critical,Priority Survey,E01,RING-009,0.946,5.0
247,109.24190157,-0.43018826,10.34,0.349,TM,Suspect,Circle_5m,E001A,0.4159125089645386,Abnormal,Sub-Optimal,Monitor,E01,RING-009,9.866,5.0
