DIVISI,BLOK_B,Blok,T_TANAM,N_BARIS,N_POKOK,OBJECTID,NDRE125,KlassNDRE12025,NDRE2_26,KLASSNDRE2_26,Ket,Longitude_SR,Latitude_SR,Drone_TreeID,Drone_Lon,Drone_Lat,Drone_Height_m,NDRE_Drone_Rel,NDRE_Drone_Abs,HS_Drone_Rel,HS_Drone_Abs
AME II,E001A,E01,2009,1,3,85160,0.33843803706787084,Stres Berat,0.4670170978903949,Stres Sedang,Pokok Utama,109.24081124395362,-0.4311159977424859,118,109.24080366,-0.43114973,14.49,0.461,0.461,Healthy,Good
AME II,E001A,E01,2009,1,5,85152,0.29417044515519036,Stres Sangat Berat,0.412547154649466,Stres Sedang,Pokok Utama,109.24100646415768,-0.4311347820977256,120,109.24097388,-0.43113801,14.47,0.318,0.318,Suspect,Critical
AME II,E001A,E01,2009,1,6,85140,0.4288733098478351,Stres Sedang,0.4346516768060027,Stres Sedang,Pokok Utama,109.2410607216615,-0.43109576505680913,119,109.24107001,-0.4310779,14.48,0.517,0.517,Healthy,Good
AME II,E001A,E01,2009,1,10,85169,0.3001398092899299,Stres Berat,0.3942914007213683,Stres Berat,Pokok Utama,109.24125344566593,-0.43112595659295444,238,109.2412757,-0.43113627,12.44,0.532,0.532,Healthy,Good
AME II,E001A,E01,2009,1,12,85170,0.32668867227954085,Stres Berat,0.45474790736777904,Stres Sedang,Pokok Utama,109.24132522078847,-0.4311283669742484,173,109.24133095,-0.43114488,13.29,0.42,0.42,Healthy,Sub-Optimal
AME II,E001A,E01,2009,1,13,85187,0.31493021297487184,Stres Berat,0.40502020572664355,Stres Sedang,Pokok Utama,109.24142673066731,-0.43112255783616277,141,109.2414347,-0.43112455,13.95,0.448,0.448,Healthy,Moderate
AME II,E001A,E01,2009,1,14,85199,0.3304526999864006,Stres Berat,0.3834236310615849,Stres Berat,Pokok Utama,109.24149645443387,-0.4311197680026327,110,109.24150881,-0.43112457,14.84,0.498,0.498,Healthy,Good
AME II,E001A,E01,2009,1,15,85261,0.37420482476114775,Stres Berat,0.4317057357581619,Stres Sedang,Pokok Utama,109.24163344306216,-0.4310999947411306,121,109.24165972,-0.43111195,14.43,0.46,0.46,Healthy,Good
AME II,E001A,E01,2009,1,17,85321,0.29021704490903927,Stres Sangat Berat,0.4174029176414531,Stres Sedang,Pokok Utama,109.24172054307365,-0.4311205923873987,562,109.24171765,-0.43113321,9.72,0.424,0.424,Healthy,Sub-Optimal
AME II,E001A,E01,2009,1,18,85324,0.3280275849789745,Stres Berat,0.4020061625374688,Stres Sedang,Pokok Utama,109.24178193599292,-0.43110720761891835,274,109.24179312,-0.43110926,12.13,0.407,0.407,Healthy,Sub-Optimal
AME II,E001A,E01,2009,1,19,85351,0.39657180572753703,Stres Berat,0.4175919831477646,Stres Sedang,Pokok Utama,109.24194402286653,-0.43107374814416033,628,109.24196694,-0.43106771,9.19,0.528,0.528,Healthy,Good
AME II,E001A,E01,2009,1,21,85380,0.43289327210785256,Stres Sedang,0.41915992103537175,Stres Sedang,Pokok Utama,109.24199007065512,-0.431075673256768,628,109.24196694,-0.43106771,9.19,0.528,0.528,Healthy,Good
AME II,E001A,E01,2009,1,22,85363,0.32372541845623115,Stres Berat,0.4009332217668232,Stres Sedang,Pokok Utama,109.2420608841059,-0.43112354267918424,844,109.24206079,-0.43114776,7.8,0.408,0.408,Healthy,Sub-Optimal
AME II,E001A,E01,2009,1,23,85364,0.4273415704217865,Stres Sedang,0.43474182878882095,Stres Sedang,Pokok Utama,109.24211232607107,-0.4310783160144312,2515,109.24214345,-0.43106684,3.39,0.358,0.358,Abnormal,Critical
AME II,E001A,E01,2009,1,26,85382,0.3350480197282684,Stres Berat,0.43592672663154924,Stres Sedang,Pokok Utama,109.2421993030035,-0.4311225819346941,2779,109.24220633,-0.43109353,2.86,0.519,0.519,Abnormal,Good
AME II,E001A,E01,2009,1,27,85399,0.34422524097802165,Stres Berat,0.427836491762159,Stres Sedang,Pokok Utama,109.24229760486833,-0.43111426621432586,743,109.24230243,-0.43114691,8.46,0.327,0.327,Suspect,Critical
AME II,E001A,E01,2009,1,32,85455,0.38375178199987026,Stres Berat,0.37598186101421704,Stres Berat,Pokok Utama,109.24258365481654,-0.4311071073248206,816,109.24258404,-0.43113703,7.98,0.479,0.479,Healthy,Good
AME II,E001A,E01,2009,1,34,85427,0.3178568249692048,Stres Berat,0.4273029185272194,Stres Sedang,Pokok Utama,109.2427600923467,-0.4311217256858479,389,109.24277403,-0.43112848,11.17,0.485,0.485,Healthy,Good
AME II,E001A,E01,2009,2,3,85154,0.3994843431906962,Stres Berat,0.4173566301155807,Stres Sedang,Pokok Utama,109.24093618365951,-0.4310350339335107,170,109.24093573,-0.43102496,13.34,0.478,0.478,Healthy,Good
AME II,E001A,E01,2009,2,4,85141,0.46231182351457223,Stres Sedang,0.47321045462159383,Stres Sedang,Pokok Utama,109.24100489383369,-0.43105321100557675,89,109.24103408,-0.43107246,15.65,0.428,0.428,Healthy,Sub-Optimal
AME II,E001A,E01,2009,2,5,85128,0.4290059836355482,Stres Sedang,0.44150647339395704,Stres Sedang,Pokok Utama,109.24109970005296,-0.43106229144657665,279,109.24110595,-0.43106434,12.05,0.491,0.491,Healthy,Good
AME II,E001A,E01,2009,2,7,85172,0.43337528964088934,Stres Sedang,0.4504603254282693,Stres Sedang,Pokok Utama,109.24124700716638,-0.4310384141572594,427,109.24124968,-0.43104222,10.88,0.464,0.464,Healthy,Good
AME II,E001A,E01,2009,2,9,85188,0.44679311120536047,Stres Sedang,0.4428781139929444,Stres Sedang,Pokok Utama,109.24140229606459,-0.43103145187560266,200,109.24142619,-0.43101061,12.79,0.422,0.422,Healthy,Sub-Optimal
AME II,E001A,E01,2009,2,10,85200,0.45404728225322444,Stres Sedang,0.4375930163097611,Stres Sedang,Pokok Utama,109.2414433875417,-0.4310630505049839,164,109.24143157,-0.43105447,13.43,0.483,0.483,Healthy,Good
AME II,E001A,E01,2009,2,11,85247,0.41823209128195626,Stres Sedang,0.41532965939682165,Stres Sedang,Pokok Utama,109.24148120618622,-0.43104167527115733,229,109.24148861,-0.43105177,12.52,0.56,0.56,Healthy,Good
AME II,E001A,E01,2009,2,12,85323,0.39100526336806196,Stres Berat,0.42542351010582585,Stres Sedang,Pokok Utama,109.24167186607626,-0.4310128072564659,417,109.24166738,-0.43101338,10.99,0.465,0.465,Healthy,Good
AME II,E001A,E01,2009,2,13,85379,0.40524576119946926,Stres Sedang,0.41789008653736687,Stres Sedang,Pokok Utama,109.24196948571374,-0.4310055705837628,809,109.24197773,-0.43101119,8.01,0.426,0.426,Healthy,Sub-Optimal
AME II,E001A,E01,2009,2,15,85384,0.39007192284338243,Stres Berat,0.40207926863782123,Stres Sedang,Pokok Utama,109.24212475427987,-0.4309974344927411,1514,109.24209675,-0.43101438,5.22,0.41,0.41,Healthy,Sub-Optimal
AME II,E001A,E01,2009,2,17,85404,0.39781900045337304,Stres Berat,0.40626444322394406,Stres Sedang,Pokok Utama,109.24227956248664,-0.43102262363959043,1666,109.24226158,-0.43103025,4.89,0.383,0.383,Healthy,Critical
AME II,E001A,E01,2009,2,19,85418,0.38254259986532224,Stres Berat,0.4363516538763504,Stres Sedang,Pokok Utama,109.24242658844344,-0.43105788129040634,733,109.24244167,-0.43109042,8.54,0.413,0.413,Healthy,Sub-Optimal
AME II,E001A,E01,2009,2,20,85426,0.4423135973409618,Stres Sedang,0.4177777338571766,Stres Sedang,Pokok Utama,109.24246135652444,-0.43102101372660445,852,109.24246774,-0.43104024,7.78,0.519,0.519,Healthy,Good
AME II,E001A,E01,2009,2,21,85456,0.4471066286128675,Stres Sedang,0.4182149213853545,Stres Sedang,Pokok Utama,109.24251732476303,-0.4310273179643769,477,109.24254814,-0.43101991,10.43,0.519,0.519,Healthy,Good
AME II,E001A,E01,2009,2,23,85429,0.4126809816175332,Stres Sedang,0.4424165000852484,Stres Sedang,Pokok Utama,109.24270260984447,-0.43103212488354703,292,109.24269814,-0.43105296,11.96,0.514,0.514,Healthy,Good
AME II,E001A,E01,2009,2,24,85310,0.3985939494537262,Stres Berat,0.42788909941347364,Stres Sedang,Pokok Utama,109.24277271758604,-0.431000313339787,2636,109.24277047,-0.43098153,3.16,0.459,0.459,Abnormal,Moderate
AME II,E001A,E01,2009,3,1,85119,0.38446128120092393,Stres Berat,0.43905916954038526,Stres Sedang,Pokok Utama,109.24072083992463,-0.4309045437685183,220,109.24070311,-0.43087525,12.56,0.519,0.519,Healthy,Good
AME II,E001A,E01,2009,3,6,85173,0.4143995711078729,Stres Sedang,0.4307130051669307,Stres Sedang,Pokok Utama,109.24121763235466,-0.4309264384845167,198,109.24121601,-0.43094138,12.79,0.43,0.43,Healthy,Moderate
AME II,E001A,E01,2009,3,8,85366,0.3909332924597097,Stres Berat,0.4089330725575381,Stres Sedang,Pokok Utama,109.2420194240594,-0.4309364166371915,456,109.242033,-0.4309271,10.62,0.423,0.423,Healthy,Sub-Optimal
AME II,E001A,E01,2009,3,9,85367,0.4255976605716771,Stres Sedang,0.40224867558873095,Stres Sedang,Pokok Utama,109.24202583250886,-0.43089653749492646,456,109.242033,-0.4309271,10.62,0.423,0.423,Healthy,Sub-Optimal
AME II,E001A,E01,2009,3,11,85401,0.43031892941077704,Stres Sedang,0.431456509207447,Stres Sedang,Pokok Utama,109.24218355717825,-0.4309422956671138,1674,109.24220412,-0.43093302,4.88,0.47,0.47,Healthy,Good
AME II,E001A,E01,2009,3,13,85420,0.39032047614556425,Stres Berat,0.42036975333374804,Stres Sedang,Pokok Utama,109.24232957113009,-0.4309564014444199,2629,109.24233256,-0.43096741,3.17,0.428,0.428,Abnormal,Sub-Optimal
AME II,E001A,E01,2009,3,14,85460,0.42918895250662625,Stres Sedang,0.4432586568887351,Stres Sedang,Pokok Utama,109.24242952459564,-0.43095736062212636,375,109.24245204,-0.43094755,11.28,0.529,0.529,Healthy,Good
AME II,E001A,E01,2009,3,15,85457,0.42043551784808897,Stres Sedang,0.4363810058630562,Stres Sedang,Pokok Utama,109.24248409492986,-0.4309331389005356,375,109.24245204,-0.43094755,11.28,0.529,0.529,Healthy,Good
AME II,E001A,E01,2009,3,16,85442,0.4422809704167447,Stres Sedang,0.43796845222655817,Stres Sedang,Pokok Utama,109.2425747122429,-0.4309397351363168,383,109.2426007,-0.43095527,11.23,0.57,0.57,Healthy,Good
AME II,E001A,E01,2009,3,18,85311,0.3862481803672446,Stres Berat,0.45109746102635206,Stres Sedang,Pokok Utama,109.24273491050961,-0.4309280227489376,2234,109.2427615,-0.43090602,3.88,0.587,0.587,Abnormal,Good
AME II,E001A,E01,2009,4,1,85151,0.40244278548655055,Stres Sedang,0.4600357652587929,Stres Sedang,Pokok Utama,109.24075269773019,-0.4308669855847788,97,109.24073905,-0.43085401,15.2,0.579,0.579,Healthy,Good
AME II,E001A,E01,2009,4,2,85156,0.41870788226471,Stres Sedang,0.41180661867838353,Stres Sedang,Pokok Utama,109.24086337030842,-0.430887086814185,228,109.24084863,-0.43087573,12.53,0.442,0.442,Healthy,Moderate
AME II,E001A,E01,2009,4,3,85142,0.42407115996855227,Stres Sedang,0.42649460547041185,Stres Sedang,Pokok Utama,109.24097778109872,-0.43087373608099894,94,109.24100044,-0.43088074,15.3,0.513,0.513,Healthy,Good
AME II,E001A,E01,2009,4,6,85249,0.4611918615483913,Stres Sedang,0.4587331459900542,Stres Sedang,Pokok Utama,109.2413970381793,-0.43089565615848485,117,109.24141185,-0.43088491,14.58,0.459,0.459,Healthy,Moderate
AME II,E001A,E01,2009,4,7,85248,0.42955948589417753,Stres Sedang,0.43467065161074486,Stres Sedang,Pokok Utama,109.24144057605378,-0.43091377944628584,100,109.24141274,-0.43092425,14.99,0.466,0.466,Healthy,Good
AME II,E001A,E01,2009,4,9,85264,0.4376770765675093,Stres Sedang,0.4392722921842428,Stres Sedang,Pokok Utama,109.24155377596828,-0.43088492597165406,84,109.24156186,-0.43088585,15.87,0.457,0.457,Healthy,Moderate
AME II,E001A,E01,2009,4,12,85353,0.3939909718385952,Stres Berat,0.41322260170950925,Stres Sedang,Pokok Utama,109.24190309126642,-0.43088940387059926,195,109.24191488,-0.4309108,12.89,0.467,0.467,Healthy,Good
AME II,E001A,E01,2009,4,15,85458,0.4366288047604702,Stres Sedang,0.4571778279734503,Stres Sedang,Pokok Utama,109.24247146126557,-0.4308483766036301,531,109.24248574,-0.43085441,9.95,0.41,0.41,Healthy,Sub-Optimal
AME II,E001A,E01,2009,4,16,85443,0.41734660250485056,Stres Sedang,0.40188648661658466,Stres Sedang,Pokok Utama,109.24253457016196,-0.4308456439917657,912,109.24256075,-0.43083634,7.35,0.442,0.442,Healthy,Moderate
AME II,E001A,E01,2009,4,18,85472,0.40579668634379185,Stres Sedang,0.47151065287756033,Stres Sedang,Pokok Utama,109.24270094109484,-0.4308547102859832,1775,109.24272154,-0.43084678,4.67,0.573,0.573,Healthy,Good
AME II,E001A,E01,2009,5,1,85120,0.4016894811377277,Stres Sedang,0.450068235146824,Stres Sedang,Pokok Utama,109.2406925948482,-0.4308408680406108,220,109.24070311,-0.43087525,12.56,0.519,0.519,Healthy,Good
AME II,E001A,E01,2009,5,2,85121,0.43530424047570737,Stres Sedang,0.4879743250289766,Stres Sedang,Pokok Utama,109.24075083250293,-0.43082179358377,150,109.24076825,-0.43082824,13.71,0.49,0.49,Healthy,Good
AME II,E001A,E01,2009,5,5,85190,0.43714019367562545,Stres Sedang,0.4369455802369046,Stres Sedang,Pokok Utama,109.24124634701337,-0.4308031246162696,112,109.24124972,-0.43082519,14.71,0.499,0.499,Healthy,Good
AME II,E001A,E01,2009,5,9,85330,0.3914789256921176,Stres Berat,0.40213286458604436,Stres Sedang,Pokok Utama,109.24172679407309,-0.43077240318477644,152,109.24174064,-0.43079184,13.63,0.404,0.404,Healthy,Sub-Optimal
AME II,E001A,E01,2009,5,11,85378,0.3963305068384741,Stres Berat,0.4150409135931673,Stres Sedang,Pokok Utama,109.24194842791465,-0.4307724980829923,509,109.24195353,-0.43079099,10.16,0.415,0.415,Healthy,Sub-Optimal
AME II,E001A,E01,2009,5,13,85387,0.42518371793840326,Stres Sedang,0.4032880185583893,Stres Sedang,Pokok Utama,109.24210562834499,-0.43076574148264735,221,109.24210355,-0.43074535,12.56,0.427,0.427,Healthy,Sub-Optimal
AME II,E001A,E01,2009,5,14,85407,0.42948187635257873,Stres Sedang,0.4385866380182157,Stres Sedang,Pokok Utama,109.24217475202524,-0.43074753856100584,407,109.24216238,-0.43078064,11.03,0.481,0.481,Healthy,Good
AME II,E001A,E01,2009,5,15,85461,0.39351322319736487,Stres Berat,0.41893526259306313,Stres Sedang,Pokok Utama,109.24236382161256,-0.4307675160109497,458,109.24238785,-0.43075898,10.62,0.412,0.412,Healthy,Sub-Optimal
AME II,E001A,E01,2009,5,17,85444,0.43927193768830003,Stres Sedang,0.4060920882772262,Stres Sedang,Pokok Utama,109.24252008523173,-0.4307605222552271,929,109.24253876,-0.43078977,7.28,0.602,0.602,Healthy,Good
AME II,E001A,E01,2009,6,1,85122,0.3979708513879737,Stres Berat,0.43575903413177786,Stres Sedang,Pokok Utama,109.24069974177412,-0.4307222524669802,161,109.24071347,-0.43075046,13.51,0.497,0.497,Healthy,Good
AME II,E001A,E01,2009,6,2,85158,0.3912146328745977,Stres Berat,0.431395157468473,Stres Sedang,Pokok Utama,109.24078200283229,-0.43072677862739395,340,109.24076109,-0.43070028,11.56,0.421,0.421,Healthy,Sub-Optimal
AME II,E001A,E01,2009,6,4,85144,0.4320913276363158,Stres Sedang,0.4287624898717272,Stres Sedang,Pokok Utama,109.24091038387256,-0.43075909113254424,209,109.24088549,-0.43077808,12.65,0.448,0.448,Healthy,Moderate
AME II,E001A,E01,2009,6,5,85132,0.4243695577871641,Stres Sedang,0.407169966960418,Stres Sedang,Pokok Utama,109.24096291007312,-0.43072537379312065,341,109.24099778,-0.43071706,11.55,0.429,0.429,Healthy,Sub-Optimal
AME II,E001A,E01,2009,6,7,85176,0.41365490995586535,Stres Sedang,0.41705357622749245,Stres Sedang,Pokok Utama,109.24106723528257,-0.43069533271960037,746,109.24108717,-0.43068498,8.45,0.447,0.447,Healthy,Moderate
AME II,E001A,E01,2009,6,9,85203,0.3966489840069736,Stres Berat,0.40773127051266106,Stres Sedang,Pokok Utama,109.24125537675023,-0.43071176871836914,642,109.24127041,-0.4307117,9.08,0.503,0.503,Healthy,Good
AME II,E001A,E01,2009,6,10,85253,0.40608350770989976,Stres Sedang,0.38962458935237726,Stres Berat,Pokok Utama,109.24131410651536,-0.430705135746633,686,109.24134676,-0.43071443,8.77,0.49,0.49,Healthy,Good
AME II,E001A,E01,2009,6,11,85267,0.4317271170601889,Stres Sedang,0.39621422445623905,Stres Berat,Pokok Utama,109.24142599374021,-0.43073243639400566,538,109.24143344,-0.43076374,9.85,0.474,0.474,Healthy,Good
AME II,E001A,E01,2009,6,16,85388,0.4620755404063726,Stres Sedang,0.4465213573692008,Stres Sedang,Pokok Utama,109.24210050331925,-0.43070465105852496,282,109.24211479,-0.43070195,12.03,0.548,0.548,Healthy,Good
AME II,E001A,E01,2009,6,17,85423,0.41281600406094554,Stres Sedang,0.41686893173475537,Stres Sedang,Pokok Utama,109.24222656459213,-0.4306921946341362,570,109.24220956,-0.43069022,9.62,0.489,0.489,Healthy,Good
AME II,E001A,E01,2009,6,18,85462,0.4023595909995856,Stres Sedang,0.39569268745252045,Stres Berat,Pokok Utama,109.24231064824994,-0.43068133359488403,2992,109.24233488,-0.43066312,1.94,0.482,0.482,Healthy,Good
