Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
11,109.24324666,-0.4297573,14.42,0.4024384021759033,Abnormal,Abnormal,Monitor,E002A,0.4024384021759033,Abnormal,Sub-Optimal,Monitor,E02,RING-001,6.372,5.0
299,109.24330911,-0.42967276,8.66,0.3478480577468872,Suspect,Suspect,Priority Survey,E002A,0.3478480577468872,Suspect,Critical,Priority Survey,E02,RING-001,7.45,5.0
141,109.24334771,-0.42978898,10.53,0.4285090267658233,Abnormal,Abnormal,Monitor,E002A,0.4285090267658233,Abnormal,Sub-Optimal,Monitor,E02,RING-001,7.52,5.0
21,109.24505322,-0.43117567,13.83,0.2536967992782593,Suspect,Suspect,Priority Survey,E002A,0.2536967992782593,Suspect,Critical,Priority Survey,E02,RING-002,14.796,5.0
71,109.24514216,-0.43114223,12.04,0.3935180902481079,Abnormal,Abnormal,Monitor,E002A,0.3935180902481079,Abnormal,Sub-Optimal,Monitor,E02,RING-002,8.166,5.0
220,109.24511029,-0.43105541,9.4,0.4271669089794159,Abnormal,Abnormal,Monitor,E002A,0.4271669089794159,Abnormal,Sub-Optimal,Monitor,E02,RING-002,2.97,5.0
201,109.24519518,-0.4310274,9.63,0.3781803250312805,Suspect,Suspect,Priority Survey,E002A,0.3781803250312805,Suspect,Critical,Priority Survey,E02,RING-002,8.269,5.0
36,109.24516601,-0.43094374,13.29,0.4219100773334503,Abnormal,Abnormal,Monitor,E002A,0.4219100773334503,Abnormal,Sub-Optimal,Monitor,E02,RING-002,14.303,5.0
38,109.24441597,-0.43083324,13.11,0.4294946193695068,Abnormal,Abnormal,Monitor,E002A,0.4294946193695068,Abnormal,Sub-Optimal,Monitor,E02,RING-003,5.684,5.0
434,109.24441554,-0.43075276,7.36,0.391864150762558,Abnormal,Abnormal,Monitor,E002A,0.391864150762558,Abnormal,Sub-Optimal,Monitor,E02,RING-003,5.135,5.0
75,109.24433289,-0.43078439,11.99,0.3805379271507263,Suspect,Suspect,Priority Survey,E002A,0.3805379271507263,Suspect,Critical,Priority Survey,E02,RING-003,6.182,5.0
44,109.24342762,-0.42799079,12.85,0.3533317446708679,Suspect,Suspect,Priority Survey,E002A,0.3533317446708679,Suspect,Critical,Priority Survey,E02,RING-004,10.749,5.0
472,109.24335576,-0.42797269,7.07,0.4283804297447204,Abnormal,Abnormal,Monitor,E002A,0.4283804297447204,Abnormal,Sub-Optimal,Monitor,E02,RING-004,6.912,5.0
359,109.24331173,-0.42804683,8.03,0.4253127574920654,Abnormal,Abnormal,Monitor,E002A,0.4253127574920654,Abnormal,Sub-Optimal,Monitor,E02,RING-004,3.562,5.0
221,109.24326814,-0.42812323,9.4,0.4152006804943084,Abnormal,Abnormal,Monitor,E002A,0.4152006804943084,Abnormal,Sub-Optimal,Monitor,E02,RING-004,12.809,5.0
60,109.24518348,-0.42322551,12.44,0.3179723918437958,Suspect,Suspect,Priority Survey,E002A,0.3179723918437958,Suspect,Critical,Priority Survey,E02,RING-005,4.787,5.0
1190,109.24527152,-0.42316766,3.54,0.3180335462093353,Suspect,Suspect,Priority Survey,E002A,0.3180335462093353,Suspect,Critical,Priority Survey,E02,RING-005,10.842,5.0
161,109.24524679,-0.42328295,10.18,0.1068103164434433,Suspect,Suspect,Priority Survey,E002A,0.1068103164434433,Suspect,Critical,Priority Survey,E02,RING-005,4.777,5.0
450,109.24517357,-0.42332453,7.22,0.3774997889995575,Suspect,Suspect,Priority Survey,E002A,0.3774997889995575,Suspect,Critical,Priority Survey,E02,RING-005,9.642,5.0
66,109.2452644,-0.42488312,12.15,0.1014508008956909,Suspect,Suspect,Priority Survey,E002A,0.1014508008956909,Suspect,Critical,Priority Survey,E02,RING-006,8.87,5.0
70,109.24524106,-0.42481394,12.09,0.2739335000514984,Suspect,Suspect,Priority Survey,E002A,0.2739335000514984,Suspect,Critical,Priority Survey,E02,RING-006,1.752,5.0
122,109.24517056,-0.42474248,10.89,0.4243084788322449,Abnormal,Abnormal,Monitor,E002A,0.4243084788322449,Abnormal,Sub-Optimal,Monitor,E02,RING-006,9.913,5.0
101,109.24523089,-0.4260777,11.24,0.4067338407039642,Abnormal,Abnormal,Monitor,E002A,0.4067338407039642,Abnormal,Sub-Optimal,Monitor,E02,RING-007,10.241,5.0
287,109.24522148,-0.42597958,8.78,0.3327002227306366,Suspect,Suspect,Priority Survey,E002A,0.3327002227306366,Suspect,Critical,Priority Survey,E02,RING-007,1.653,5.0
343,109.24525339,-0.4258982,8.24,0.3949147462844848,Abnormal,Abnormal,Monitor,E002A,0.3949147462844848,Abnormal,Sub-Optimal,Monitor,E02,RING-007,9.822,5.0
102,109.24518363,-0.43044864,11.23,0.3435085713863373,Suspect,Suspect,Priority Survey,E002A,0.3435085713863373,Suspect,Critical,Priority Survey,E02,RING-008,3.235,5.0
