Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name
1,109.24308530324474,-0.43113941255145843,0.0,0.3443004944834675,Abnormal,Abnormal,Monitor,E002A
2,109.24319303136707,-0.43112841955748116,0.0,0.43592422845519607,Normal,Normal,Routine,E002A
3,109.2432740319135,-0.4311422986259685,0.0,0.4187110715669162,Normal,Normal,Routine,E002A
4,109.24333442344442,-0.43114006275145583,0.0,0.4345192062260332,Normal,Normal,Routine,E002A
5,109.2434085575343,-0.4311267279425137,0.0,0.42260210284103567,Normal,Normal,Routine,E002A
6,109.24349842926169,-0.43111793186668673,0.0,0.4663045774793596,Normal,Normal,Routine,E002A
7,109.24359858176503,-0.4311286684081973,0.0,0.3841521378080766,Abnormal,Abnormal,Monitor,E002A
8,109.24382708079649,-0.4311194505668874,0.0,0.4176280143672418,Normal,Normal,Routine,E002A
9,109.24392864637893,-0.4311141839816596,0.0,0.47275994686732215,Normal,Normal,Routine,E002A
10,109.24395102818717,-0.43114778584982794,0.0,0.43854583429996497,Normal,Normal,Routine,E002A
11,109.24403543898886,-0.4311090976603499,0.0,0.4038622757759369,Normal,Normal,Routine,E002A
12,109.244161199408,-0.43112046682589383,0.0,0.4108369272730925,Normal,Normal,Routine,E002A
13,109.24431809631213,-0.43112200168759596,0.0,0.4295029155362014,Normal,Normal,Routine,E002A
14,109.2443609296798,-0.43112197636505334,0.0,0.4515171734241394,Normal,Normal,Routine,E002A
15,109.24453860981178,-0.43112041066998363,0.0,0.408476579751001,Normal,Normal,Routine,E002A
16,109.24462999105474,-0.43111396701879595,0.0,0.44828878521096377,Normal,Normal,Routine,E002A
17,109.24472270563275,-0.4311297885322922,0.0,0.41932428370464897,Normal,Normal,Routine,E002A
18,109.24475590028909,-0.4310836776620239,0.0,0.44957404982503274,Normal,Normal,Routine,E002A
19,109.24478545324574,-0.43111640403250595,0.0,0.3922371968671724,Abnormal,Abnormal,Monitor,E002A
20,109.24487097603057,-0.431133128179784,0.0,0.384216214134784,Abnormal,Abnormal,Monitor,E002A
21,109.2449532505222,-0.43114650926740783,0.0,0.46787253962567127,Normal,Normal,Routine,E002A
22,109.2450269596536,-0.43112592362577296,0.0,0.4620030959572633,Normal,Normal,Routine,E002A
23,109.24510681635942,-0.43112594215980854,0.0,0.432321055501601,Normal,Normal,Routine,E002A
24,109.2451904745932,-0.4311297894929977,0.0,0.4090668306887132,Normal,Normal,Routine,E002A
25,109.24312996872645,-0.4310742507354763,0.0,0.4389487932534305,Normal,Normal,Routine,E002A
26,109.24323953586537,-0.43105826189106405,0.0,0.45208932528734996,Normal,Normal,Routine,E002A
27,109.24330234156612,-0.4310616513384926,0.0,0.46512178415837496,Normal,Normal,Routine,E002A
28,109.24346723805502,-0.4310726733036213,0.0,0.48512844600835003,Normal,Normal,Routine,E002A
29,109.24351552779656,-0.4310675426534551,0.0,0.46434543970004327,Normal,Normal,Routine,E002A
30,109.24361030899725,-0.4310570168772913,0.0,0.35865823684084824,Abnormal,Abnormal,Monitor,E002A
31,109.24371849750726,-0.43105585194016527,0.0,0.4689326862935799,Normal,Normal,Routine,E002A
32,109.2437896198131,-0.431073359486563,0.0,0.4528789271433957,Normal,Normal,Routine,E002A
33,109.2438623584748,-0.4310657919883505,0.0,0.4361161959980586,Normal,Normal,Routine,E002A
34,109.2439572949191,-0.43105211022385015,0.0,0.4772413077211021,Normal,Normal,Routine,E002A
35,109.24402341925392,-0.43105775757770826,0.0,0.4307964313098281,Normal,Normal,Routine,E002A
