Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-019,109.24425711,-0.4240448,5.0,25,0,25,0.3895,0.0,20.855,High
RING-023,109.24419059,-0.42356173,5.0,23,0,23,0.3773,0.0,19.477,High
RING-012,109.24437926,-0.42547423,5.0,23,0,23,0.3817,0.0,19.433,High
RING-020,109.24477995,-0.42388493,5.0,22,0,22,0.3828,0.0,18.672,High
RING-018,109.24487611,-0.42426618,5.0,10,0,10,0.3792,0.0,8.708,Medium
RING-025,109.24364278,-0.42332005,5.0,9,0,9,0.3826,0.0,7.824,Medium
RING-014,109.24479739,-0.42514466,5.0,8,1,7,0.3781,0.0,7.769,Medium
RING-010,109.2437024,-0.426076,5.0,8,0,8,0.3751,0.0,7.049,Medium
RING-016,109.24406958,-0.42466496,5.0,7,0,7,0.3861,0.0,6.089,Low
RING-017,109.24453326,-0.42447317,5.0,6,0,6,0.3705,0.0,5.395,Low
RING-015,109.24477918,-0.42487673,5.0,6,0,6,0.3794,0.0,5.306,Low
RING-005,109.24447828,-0.42813987,5.0,6,0,6,0.3922,0.0,5.178,Low
RING-004,109.24408955,-0.42812524,5.0,5,0,5,0.3608,0.0,4.642,Low
RING-011,109.24518141,-0.42596087,5.0,5,0,5,0.3896,0.0,4.354,Low
RING-026,109.24487802,-0.42319196,5.0,4,0,4,0.3922,0.0,3.478,Low
RING-006,109.24435212,-0.4274466,5.0,4,0,4,0.3925,0.0,3.475,Low
RING-002,109.24398226,-0.43071854,5.0,3,0,3,0.3598,0.0,2.952,Low
RING-003,109.24488842,-0.42898573,5.0,3,0,3,0.364,0.0,2.91,Low
RING-013,109.24515702,-0.42560212,5.0,3,0,3,0.3713,0.0,2.837,Low
RING-021,109.24335893,-0.4239527,5.0,3,0,3,0.373,0.0,2.82,Low
RING-007,109.2446027,-0.42742442,5.0,3,0,3,0.3781,0.0,2.769,Low
RING-001,109.24362533,-0.4310565,5.0,3,0,3,0.3805,0.0,2.745,Low
RING-022,109.24362049,-0.42382706,5.0,3,0,3,0.3856,0.0,2.694,Low
RING-008,109.24415891,-0.42728056,5.0,3,0,3,0.3866,0.0,2.684,Low
RING-009,109.24474012,-0.42624966,5.0,3,0,3,0.3877,0.0,2.673,Low
RING-024,109.24371781,-0.42352463,5.0,3,0,3,0.3878,0.0,2.672,Low
RING-027,109.24327414,-0.4231076,5.0,3,0,3,0.3883,0.0,2.667,Low
