Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,Ring_ID,Distance_to_Center_m,Ring_Radius_m
7,109.24359858176504,-0.4311286684081973,0.0,0.3841521378080766,Abnormal,Abnormal,Monitor,E002A,RING-001,8.515,5.0
30,109.24361030899723,-0.4310570168772913,0.0,0.3586582368408482,Abnormal,Abnormal,Monitor,E002A,RING-001,1.673,5.0
52,109.243667090461,-0.4309838222146564,0.0,0.3988269744172262,Abnormal,Abnormal,Monitor,E002A,RING-001,9.282,5.0
130,109.24406312316852,-0.430762935016394,0.0,0.340217868292898,Abnormal,Abnormal,Monitor,E002A,RING-002,10.252,5.0
149,109.24398219420723,-0.430703029665766,0.0,0.3469581616936145,Abnormal,Abnormal,Monitor,E002A,RING-002,1.715,5.0
148,109.24390147377464,-0.4306896625192772,0.0,0.3922118738494713,Abnormal,Abnormal,Monitor,E002A,RING-002,9.543,5.0
720,109.24493414104178,-0.4290530247612922,0.0,0.3955131231236758,Abnormal,Abnormal,Monitor,E002A,RING-003,9.013,5.0
740,109.24489949001784,-0.4289862447871895,0.0,0.348156435326771,Abnormal,Abnormal,Monitor,E002A,RING-003,1.234,5.0
765,109.2448316202222,-0.4289179297753854,0.0,0.3484104091048884,Abnormal,Abnormal,Monitor,E002A,RING-003,9.806,5.0
1009,109.24405311690764,-0.4282106472491253,0.0,0.358649426777347,Abnormal,Abnormal,Monitor,E002A,RING-004,10.276,5.0
1034,109.24407782605913,-0.4281461535218662,0.0,0.3305814007246817,Abnormal,Abnormal,Monitor,E002A,RING-004,2.655,5.0
1035,109.24416238694442,-0.4281304444761275,0.0,0.3698513783271133,Abnormal,Abnormal,Monitor,E002A,RING-004,8.128,5.0
1062,109.24411497721673,-0.4280658536326123,0.0,0.3655656277505408,Abnormal,Abnormal,Monitor,E002A,RING-004,7.148,5.0
1061,109.24403944143626,-0.4280730769716847,0.0,0.379586357880641,Abnormal,Abnormal,Monitor,E002A,RING-004,8.022,5.0
1013,109.24445331787916,-0.4281961269084887,0.0,0.3932486900950836,Abnormal,Abnormal,Monitor,E002A,RING-005,6.811,5.0
1039,109.24447369609224,-0.4281292484235229,0.0,0.3997529691070658,Abnormal,Abnormal,Monitor,E002A,RING-005,1.281,5.0
1040,109.24456867600608,-0.4281257435376775,0.0,0.3903417306271596,Abnormal,Abnormal,Monitor,E002A,RING-005,10.183,5.0
1041,109.24465644783112,-0.4281276546708238,0.0,0.3802011388382564,Abnormal,Abnormal,Monitor,E002A,RING-005,19.879,5.0
1038,109.24439584936329,-0.4281350288682789,0.0,0.3920047905799504,Abnormal,Abnormal,Monitor,E002A,RING-005,9.192,5.0
1037,109.24432169894254,-0.4281254406246668,0.0,0.397415739009515,Abnormal,Abnormal,Monitor,E002A,RING-005,17.503,5.0
1267,109.24445113224488,-0.4275013039879504,0.0,0.3990714343343544,Abnormal,Abnormal,Monitor,E002A,RING-006,12.572,5.0
1293,109.24439600995746,-0.4274285545604023,0.0,0.3824491578623,Abnormal,Abnormal,Monitor,E002A,RING-006,5.277,5.0
1292,109.2443233387317,-0.4274280513167556,0.0,0.390773311150031,Abnormal,Abnormal,Monitor,E002A,RING-006,3.803,5.0
1291,109.24423798904571,-0.4274284792990641,0.0,0.3976209441367195,Abnormal,Abnormal,Monitor,E002A,RING-006,12.861,5.0
1269,109.24462443446508,-0.427490248080084,0.0,0.3793383681430782,Abnormal,Abnormal,Monitor,E002A,RING-007,7.669,5.0
1295,109.24455893176084,-0.4274291156531513,0.0,0.3594560514618032,Abnormal,Abnormal,Monitor,E002A,RING-007,4.9,5.0
1322,109.24462473760995,-0.427353885515402,0.0,0.3954458356100695,Abnormal,Abnormal,Monitor,E002A,RING-007,8.173,5.0
1316,109.2441253149842,-0.4273487471681016,0.0,0.3828975557028746,Abnormal,Abnormal,Monitor,E002A,RING-008,8.414,5.0
1343,109.24415967816648,-0.427290829028648,0.0,0.3793067349409427,Abnormal,Abnormal,Monitor,E002A,RING-008,1.139,5.0
1371,109.24419173887924,-0.4272020944145884,0.0,0.3976809422139323,Abnormal,Abnormal,Monitor,E002A,RING-008,9.412,5.0
1720,109.2447475274304,-0.4262957447921484,0.0,0.379996430335587,Abnormal,Abnormal,Monitor,E002A,RING-009,5.161,5.0
1749,109.2447760639148,-0.4262239731517883,0.0,0.3966883559229135,Abnormal,Abnormal,Monitor,E002A,RING-009,4.907,5.0
1748,109.24469676210408,-0.4262292632140171,0.0,0.3864081927145329,Abnormal,Abnormal,Monitor,E002A,RING-009,5.327,5.0
1735,109.243645413575,-0.4262360320102663,0.0,0.3449294704093326,Abnormal,Abnormal,Monitor,E002A,RING-010,18.793,5.0
1763,109.24368071002696,-0.4261582583000305,0.0,0.3772714129533945,Abnormal,Abnormal,Monitor,E002A,RING-010,9.408,5.0
1790,109.24372921097348,-0.4260850543481516,0.0,0.3704630034133935,Abnormal,Abnormal,Monitor,E002A,RING-010,3.148,5.0
1817,109.24376349248786,-0.4260305553504134,0.0,0.3919606362997448,Abnormal,Abnormal,Monitor,E002A,RING-010,8.454,5.0
1818,109.24384516185422,-0.4260224208978674,0.0,0.3993865742997627,Abnormal,Abnormal,Monitor,E002A,RING-010,16.959,5.0
1816,109.24368786947004,-0.4260304927779951,0.0,0.3445170003977865,Abnormal,Abnormal,Monitor,E002A,RING-010,5.284,5.0
1842,109.24362941949288,-0.4259558291494165,0.0,0.383127767641862,Abnormal,Abnormal,Monitor,E002A,RING-010,15.571,5.0
1789,109.24363794531884,-0.4260893405925409,0.0,0.3888590413891115,Abnormal,Abnormal,Monitor,E002A,RING-010,7.325,5.0
1808,109.24518678540856,-0.426094864094142,0.0,0.3964681584620848,Abnormal,Abnormal,Monitor,E002A,RING-011,14.823,5.0
1834,109.24518962780978,-0.4260302115490197,0.0,0.3764231340451674,Abnormal,Abnormal,Monitor,E002A,RING-011,7.719,5.0
1861,109.2451779551762,-0.4259408718002188,0.0,0.3928814686249265,Abnormal,Abnormal,Monitor,E002A,RING-011,2.244,5.0
1886,109.24513166663765,-0.425867287035414,0.0,0.3831127061499075,Abnormal,Abnormal,Monitor,E002A,RING-011,11.734,5.0
1887,109.245221028873,-0.4258711363435316,0.0,0.3990393768909782,Abnormal,Abnormal,Monitor,E002A,RING-011,10.856,5.0
1954,109.24405955525972,-0.4256673493253131,0.0,0.3685772682601423,Abnormal,Abnormal,Monitor,E002A,RING-012,41.501,5.0
1982,109.24408713276353,-0.4255937779210918,0.0,0.3801252909042759,Abnormal,Abnormal,Monitor,E002A,RING-012,35.102,5.0
2009,109.2440515005504,-0.4255159191941507,0.0,0.3896828745616072,Abnormal,Abnormal,Monitor,E002A,RING-012,36.775,5.0
2010,109.2441370611996,-0.4255159388045103,0.0,0.3510437649383064,Abnormal,Abnormal,Monitor,E002A,RING-012,27.352,5.0
1983,109.24417202439248,-0.4256048633403005,0.0,0.3210293650895464,Abnormal,Abnormal,Monitor,E002A,RING-012,27.216,5.0
1984,109.24425112394424,-0.4255961187733928,0.0,0.3814255912097195,Abnormal,Abnormal,Monitor,E002A,RING-012,19.622,5.0
2012,109.24428679090056,-0.4255243478730486,0.0,0.3760413593268609,Abnormal,Abnormal,Monitor,E002A,RING-012,11.69,5.0
1985,109.24432717978613,-0.4255889587510209,0.0,0.3995003027869416,Abnormal,Abnormal,Monitor,E002A,RING-012,13.945,5.0
1986,109.24441511566047,-0.425596156361991,0.0,0.3857407763676398,Abnormal,Abnormal,Monitor,E002A,RING-012,14.057,5.0
2014,109.24444895268375,-0.4255210716675421,0.0,0.3704208976456097,Abnormal,Abnormal,Monitor,E002A,RING-012,9.327,5.0
1987,109.2444940943808,-0.4255895016085489,0.0,0.3832324479951435,Abnormal,Abnormal,Monitor,E002A,RING-012,18.049,5.0
1988,109.24457197796822,-0.42559140673927,0.0,0.3986264768841387,Abnormal,Abnormal,Monitor,E002A,RING-012,25.06,5.0
2016,109.2446160297077,-0.425518384381552,0.0,0.3747543308623168,Abnormal,Abnormal,Monitor,E002A,RING-012,26.804,5.0
2042,109.24468114133624,-0.4254460794357614,0.0,0.3896483302421231,Abnormal,Abnormal,Monitor,E002A,RING-012,33.748,5.0
2041,109.24459658147246,-0.4254613726346153,0.0,0.3907157870618483,Abnormal,Abnormal,Monitor,E002A,RING-012,24.233,5.0
2065,109.2445509688992,-0.4253738364624488,0.0,0.387199995265729,Abnormal,Abnormal,Monitor,E002A,RING-012,22.102,5.0
2064,109.2444698279552,-0.425380831652938,0.0,0.3930184889426114,Abnormal,Abnormal,Monitor,E002A,RING-012,14.43,5.0
2063,109.24439235800696,-0.4253770393437264,0.0,0.3749692069048206,Abnormal,Abnormal,Monitor,E002A,RING-012,10.841,5.0
2086,109.24435718130424,-0.4253066782929584,0.0,0.3999462405924111,Abnormal,Abnormal,Monitor,E002A,RING-012,18.683,5.0
2110,109.2444008031586,-0.425235842445224,0.0,0.3971082897185563,Abnormal,Abnormal,Monitor,E002A,RING-012,26.46,5.0
2135,109.2444398057158,-0.4251546991904796,0.0,0.3719479655539309,Abnormal,Abnormal,Monitor,E002A,RING-012,35.958,5.0
2160,109.24446744437977,-0.4250886506761689,0.0,0.398807527015499,Abnormal,Abnormal,Monitor,E002A,RING-012,43.737,5.0
1959,109.2444483754826,-0.4256583728243096,0.0,0.394641317483144,Abnormal,Abnormal,Monitor,E002A,RING-012,21.761,5.0
1968,109.24516974136478,-0.4256548295985151,0.0,0.3977809963139659,Abnormal,Abnormal,Monitor,E002A,RING-013,5.997,5.0
1996,109.2451771849122,-0.4255694397094336,0.0,0.3254063106059455,Abnormal,Abnormal,Monitor,E002A,RING-013,4.253,5.0
1995,109.24512412543577,-0.4255820823804168,0.0,0.3908318929844074,Abnormal,Abnormal,Monitor,E002A,RING-013,4.279,5.0
2114,109.24473449733344,-0.42523422057439,0.0,0.3975725798294521,Abnormal,Abnormal,Monitor,E002A,RING-014,12.126,5.0
2139,109.2447838794563,-0.4251570712752645,0.0,0.3735436777423199,Abnormal,Abnormal,Monitor,E002A,RING-014,2.036,5.0
