Blok,N_SR,N_Drone,N_Utama,N_Sisip,N_Mati,SPH_SR,NDRE_SR_2025,NDRE_SR_2026,Delta_NDRE_SR,Matched_Pohon,Match_Pct,Rings_SR,SevMax_SR,Rings_DroneRel,Rings_DroneAbs
D001A,3486,3645,3404,0,9,125.1,0.4197,0.4334,0.0137,2024,58.1,27,7.85,84,57
D002A,3182,3639,3140,0,4,127.2,0.3904,0.4447,0.0543,1955,61.4,16,10.35,94,61
D003A,3131,3624,3101,0,3,119.1,0.4002,0.4103,0.0101,1777,56.8,34,506.26,90,61
D004A,2861,3545,2838,0,6,120.9,0.385,0.4029,0.0179,1783,62.3,36,690.04,75,55
D005A,2654,2991,2336,262,34,96.9,0.4117,0.4194,0.0077,1811,68.2,53,14.74,20,12
D009A,2594,3285,2522,0,66,104.5,0.4235,0.4692,0.0457,1429,55.1,1,2.84,53,25
D010A,2574,3018,2527,0,30,105.1,0.4218,0.4119,-0.0099,1300,50.5,61,99.8,74,55
D011A,2145,2644,2107,0,19,86.3,0.4237,0.416,-0.0076,919,42.8,42,17.25,41,24
E001A,3008,3136,2992,0,9,123.1,0.3964,0.4191,0.0227,1727,57.4,59,56.93,47,29
E002A,2854,3308,2836,0,9,124.7,0.4047,0.4319,0.0272,1760,61.7,27,20.86,64,45
